,Field,Format,source,Missing Ratio %,Unique_Values,Number of Unique Values
0,GEOID,int64,Census,0.0,[20161 19159 30009 ... 48451 39089 19193],3221
1,transportation_drive_alone,float64,Census,0.0,[28264.  1606.  3575. ... 44500. 67038. 43104.],3032
2,transportation_public,float64,Census,0.0,"[8.50000e+01 7.00000e+00 1.90000e+01 1.70000e+01 0.00000e+00 1.23200e+03
 1.68800e+03 5.00000e+00 5.60000e+01 2.90000e+01 1.99000e+02 8.62370e+04
 9.67010e+04 2.57000e+02 4.50000e+01 4.60000e+01 6.15000e+02 1.23000e+02
 4.40000e+01 2.18580e+04 2.50000e+01 9.00000e+01 4.94000e+02 6.18400e+03
 2.27300e+03 2.44000e+02 8.19700e+03 2.60000e+01 1.00000e+00 3.40000e+01
 3.00000e+01 8.30000e+01 4.00000e+00 1.16347e+05 2.08000e+02 2.31710e+04
 1.08000e+02 3.37900e+03 6.82000e+02 3.82990e+04 3.00000e+00 8.00000e+00
 1.10000e+01 1.79800e+03 1.33870e+04 1.50000e+01 1.12000e+02 6.68000e+02
 1.18910e+04 1.04000e+02 3.00000e+02 1.11400e+03 1.79000e+02 8.40300e+03
 4.00000e+01 7.69000e+02 2.46000e+02 5.10000e+01 4.70000e+01 3.20000e+01
 5.52510e+04 1.30000e+01 9.60000e+01 2.10000e+01 1.48000e+02 4.12000e+02
 2.27000e+02 2.74000e+02 2.70000e+01 7.20000e+01 1.01000e+02 1.65000e+02
 7.10000e+01 4.92400e+03 4.96000e+02 7.30000e+01 5.40000e+01 1.63000e+02
 1.73000e+02 5.99000e+02 3.70000e+01 2.00000e+00 1.11200e+04 2.00000e+01
 1.90500e+03 1.15100e+03 5.80000e+01 3.83890e+04 3.55500e+03 8.15000e+02
 2.03000e+02 9.00000e+00 4.80000e+01 1.18000e+02 3.80000e+01 1.22000e+02
 1.92000e+02 2.05500e+03 7.47800e+03 1.71000e+02 1.00000e+02 5.04000e+02
 3.20000e+02 5.69000e+02 1.44000e+02 1.53000e+02 4.90000e+01 4.78000e+02
 2.69600e+03 1.95000e+02 1.20000e+01 5.00000e+01 2.40300e+03 4.30000e+01
 1.07960e+04 9.56000e+02 3.30000e+01 1.91000e+02 1.28500e+03 1.45000e+02
 6.36100e+03 1.80000e+01 4.66000e+02 1.44070e+04 1.77000e+02 1.50000e+02
 5.79000e+02 1.60000e+01 6.00000e+00 9.90000e+01 3.50000e+02 1.40000e+01
 2.43800e+03 4.06000e+02 1.11000e+02 2.70000e+02 3.10000e+01 8.60000e+01
 1.20500e+03 7.73000e+02 1.50700e+03 2.56000e+02 7.70000e+01 3.50000e+01
 3.39000e+02 2.28000e+02 7.69600e+03 2.68000e+02 8.00000e+01 4.94000e+03
 7.60000e+01 6.76000e+02 2.20000e+01 6.70000e+01 1.05000e+02 3.82360e+04
 1.19000e+02 5.26000e+02 1.00000e+01 5.15000e+02 1.19970e+04 1.02000e+02
 7.90000e+01 4.34000e+02 4.04067e+05 2.34147e+05 2.58500e+03 1.06700e+03
 1.13000e+02 1.00360e+04 3.45000e+02 3.57600e+03 1.27000e+02 3.98200e+03
 1.07000e+03 6.49000e+02 6.40000e+01 7.11900e+03 2.09800e+03 2.21000e+02
 1.75700e+03 2.80000e+01 5.35000e+03 1.72000e+02 6.50000e+01 3.54100e+03
 1.01800e+03 2.13800e+03 2.34000e+02 3.35000e+02 1.59700e+03 2.20700e+03
 1.17700e+03 2.26100e+03 1.64100e+03 1.18870e+04 1.03000e+02 4.20000e+01
 2.18000e+02 2.24000e+02 1.82000e+02 8.82500e+03 8.21000e+02 1.52500e+03
 1.28900e+03 1.70000e+02 1.09000e+02 1.84380e+04 1.16520e+04 4.99000e+02
 6.80000e+01 3.45750e+04 6.52000e+02 1.31000e+02 4.46480e+04 2.51000e+02
 5.70000e+01 1.62000e+02 1.42000e+02 1.04000e+03 6.23000e+02 4.10000e+02
 8.42700e+03 1.85000e+02 7.18260e+04 1.05600e+03 5.43000e+02 2.36000e+02
 2.30000e+01 1.47450e+04 9.90860e+04 6.32000e+02 1.40000e+02 6.20000e+01
 3.60000e+01 2.82140e+04 9.32700e+03 1.55000e+02 1.67400e+03 5.20000e+01
 1.24000e+03 5.90000e+01 2.22900e+03 8.80000e+01 1.14000e+02 1.69100e+03
 3.58000e+02 3.00700e+03 8.10000e+01 2.41000e+02 1.46550e+04 9.50000e+01
 1.51000e+02 1.03800e+03 7.16000e+02 3.81000e+02 1.35000e+02 3.90000e+01
 3.19000e+02 4.41500e+03 7.40000e+01 3.15000e+02 4.50560e+05 2.42000e+02
 5.49300e+03 2.32600e+03 1.29200e+03 9.98730e+04 5.06000e+02 9.90000e+02
 3.19870e+04 1.60300e+03 6.72000e+02 8.97000e+02 1.33000e+02 2.20850e+04
 5.68000e+02 1.04700e+03 2.37000e+02 4.19000e+02 1.26000e+02 6.43000e+02
 1.71700e+03 4.42400e+03 2.16200e+03 2.73000e+02 1.78750e+04 1.15000e+02
 4.49500e+03 3.42000e+02 7.06000e+02 9.48000e+02 4.89800e+04 5.30000e+01
 8.60000e+02 5.11929e+05 3.95000e+02 7.48000e+02 1.29059e+05 2.58700e+03
 3.57000e+02 2.40000e+01 1.61800e+04 1.34530e+04 2.29000e+02 2.63800e+03
 1.46600e+03 4.50600e+03 5.14000e+02 7.50000e+01 3.17000e+02 9.20000e+01
 1.47600e+03 9.80000e+01 5.50000e+01 7.56000e+02 8.90000e+01 8.40000e+01
 5.82000e+02 7.00000e+01 2.14000e+03 9.65000e+02 1.07000e+02 6.63716e+05
 6.30000e+01 3.28000e+02 3.61000e+02 1.38000e+02 7.97000e+02 1.35000e+03
 1.37000e+02 8.71000e+02 1.02680e+04 8.20000e+01 4.23640e+04 3.01700e+03
 5.23000e+02 8.59000e+02 2.05000e+02 4.14700e+03 4.46150e+04 1.26900e+03
 1.74490e+04 3.64600e+03 3.84000e+02 5.87000e+02 2.89000e+02 6.89000e+03
 6.30900e+03 4.47000e+02 4.63000e+02 6.60000e+02 1.17400e+03 8.12000e+02
 2.27700e+03 2.12000e+02 6.00000e+01 9.45600e+03 1.34000e+02 1.65900e+03
 6.60000e+01 8.84000e+02 7.80000e+01 2.23100e+03 1.68200e+03 6.09700e+03
 4.68190e+04 1.95600e+03 1.54000e+02 4.83520e+04 2.96000e+02 1.31780e+04
 4.10000e+01 6.08440e+04 2.39500e+03 4.18100e+03 1.86000e+02 1.69000e+02
 1.09500e+03 2.15560e+04 8.03000e+02 1.98000e+02 4.43000e+02 5.00000e+02
 2.38000e+02 1.01100e+03 1.59500e+03 3.43300e+03 8.70000e+01 1.30200e+03
 1.29000e+02 2.84000e+02 1.52450e+04 5.67000e+02 2.19600e+03 8.66000e+02
 2.53400e+03 2.35000e+02 6.13000e+02 9.08200e+03 3.31000e+02 2.14000e+02
 2.22190e+04 7.24000e+02 2.79000e+02 9.14000e+02 4.30000e+02 9.10000e+01
 1.73160e+04 3.14000e+02 8.42800e+03 9.78000e+02 1.43000e+02 1.52058e+05
 1.73500e+03 8.87000e+02 1.32000e+02 2.17650e+04 4.39000e+02 1.47300e+03
 9.70000e+01 9.25000e+02 1.59800e+03 1.41000e+02 2.77000e+02 5.19020e+04
 2.10500e+03 3.34090e+04 2.72350e+04 1.52000e+02 2.50000e+03 2.49700e+03
 1.67750e+04 1.68840e+04 4.82800e+03 1.35700e+03 6.69000e+02 2.21800e+03
 6.27910e+04 3.85000e+02 3.20590e+04 4.93100e+03 8.00000e+02 4.49000e+02
 7.22000e+02 1.34900e+03 7.70100e+03 1.00595e+05 5.95200e+03 3.62000e+02
 1.80200e+03 1.18700e+03 2.08500e+03 1.30000e+02 7.13000e+02 1.21000e+02
 3.93130e+04 2.99000e+02 5.12000e+02 4.31000e+02 3.04000e+02 4.09700e+03
 1.61000e+02 3.38410e+04 3.52000e+02 2.72500e+03 1.09920e+04 1.10000e+02
 1.86220e+04 4.53200e+03 3.80000e+03 7.61000e+02 1.20100e+03 2.06500e+03
 5.26200e+03 2.78000e+03 3.90000e+02 4.97000e+02 3.03000e+02 2.26000e+02
 1.28000e+02 1.48300e+03 1.89000e+02 1.96000e+03 8.29100e+03 9.59000e+03
 9.30000e+01 3.26480e+04 6.98900e+03 1.00000e+03 6.40000e+02 1.26600e+03
 1.62100e+03 1.84700e+03 3.77800e+03 2.64000e+02 3.26000e+02 5.11000e+02
 9.71000e+02 4.96700e+03 1.16300e+03 2.16000e+02 4.84000e+02 9.57000e+02
 1.20700e+03 1.88000e+02 3.59000e+02 5.75090e+04 7.60000e+02 3.36000e+02
 1.32200e+03 4.81000e+02 2.01000e+02 3.89000e+02 3.75000e+02 8.18000e+02
 2.15800e+03 2.13000e+02 1.70200e+03 2.80000e+02 4.47100e+03 6.90000e+01
 3.56000e+02 2.69700e+03 2.04000e+02 1.15400e+03 5.44000e+02 2.55000e+02
 4.11800e+03 3.58400e+03 1.94000e+02 4.02000e+02 7.85500e+03 6.90000e+02
 4.41000e+02 5.13000e+02 2.17000e+02 5.33000e+03 6.05600e+03 2.52000e+02
 8.98000e+02 4.91000e+02 6.10000e+01 1.54200e+03 1.49000e+02 2.75000e+02
 1.69600e+03 2.58000e+02 1.54700e+03 1.48700e+03 1.49000e+03 4.90000e+02
 3.91700e+03 8.00100e+03 2.06000e+02 2.75300e+03 1.59000e+02 4.76000e+02
 7.59000e+02 2.61000e+02 2.59000e+02 3.96300e+03 2.91100e+03 3.90000e+03
 4.93000e+02 4.92000e+02 9.93500e+03 6.39900e+03 3.19960e+04 2.50000e+02
 1.36000e+02 8.33000e+02 3.33900e+03 4.22300e+03 9.46000e+02 5.09200e+03
 2.01220e+04 2.81460e+04 1.06900e+03 4.13600e+03 6.19400e+03 2.85000e+02
 3.13000e+02 8.53000e+02 2.00000e+02 6.98800e+03 5.54000e+02 6.29000e+02
 1.06400e+03 6.92000e+02 1.17000e+02 1.62390e+04 2.81000e+02 2.00400e+03
 4.13000e+02 2.65000e+02 6.38000e+02 2.01000e+03 1.80000e+02 1.58000e+02
 1.68000e+02 1.75000e+02 3.72500e+03 4.61000e+02 1.60000e+02 4.56000e+02
 1.66000e+02 2.87200e+03 1.47400e+04 9.40000e+01 1.97000e+02 1.60200e+03
 2.15000e+02 1.38913e+05 3.10000e+02 1.36400e+03 4.26000e+02 3.71000e+02
 7.68000e+02 4.72000e+02 5.36000e+02 2.47000e+02 1.16000e+02 1.01500e+03
 9.29000e+02 2.66580e+04 8.35000e+02 1.93000e+02 4.85000e+02 1.57000e+02
 8.51000e+02 2.88900e+03 1.42000e+03 2.50700e+03 6.84000e+02 4.44000e+02
 1.35711e+05 1.17300e+03 2.25000e+02 8.05000e+02 7.21000e+02 2.31000e+02
 2.09700e+03 3.02000e+02 1.06000e+02 7.25000e+02 1.44180e+04 3.40900e+03
 3.74000e+02 5.17000e+02 1.78000e+02 2.21100e+03 4.15000e+02 3.73000e+02
 3.94000e+02 1.17600e+03 2.80300e+03 3.97000e+02 2.87800e+03 2.39000e+02
 3.43000e+02 5.29800e+03 6.44000e+02 2.12400e+03 3.16800e+03 5.61000e+02
 7.71000e+02 2.32000e+02 2.82000e+02 3.91220e+04 5.39000e+02 3.32800e+03
 3.55000e+02 8.47000e+02 5.77000e+02 1.31600e+03 1.44600e+03 5.22300e+03
 1.86200e+03 3.91000e+03 3.67000e+02 1.57290e+04 6.88000e+02 7.81000e+02
 3.18000e+02 2.02000e+02 2.34800e+03 7.81100e+03 2.20000e+02 4.87000e+02
 1.30500e+03 2.91000e+02 1.64000e+03 8.62000e+02 8.70000e+02 1.80500e+03
 6.75000e+02 6.24000e+02 2.48000e+02 3.45300e+03 6.10000e+02 1.32760e+04
 9.18000e+02 8.49000e+02 2.00500e+03 3.16600e+03 8.96000e+03 2.47500e+03
 6.48800e+03 4.93800e+03 3.12000e+02 7.62300e+03 4.57000e+02 1.39000e+02
 1.26820e+04 1.83560e+04 4.31000e+03 4.75000e+02 9.97300e+03 1.23220e+04
 8.27000e+02 2.74500e+03 2.33000e+02 3.91000e+02 2.23000e+02 3.98000e+02
 6.91000e+02 4.41000e+03 3.06000e+02 7.58000e+02 3.24274e+05 1.24000e+02
 1.30300e+03 6.11000e+02 1.05990e+04 8.12900e+03 5.67600e+03 2.53500e+03
 3.24000e+02 3.82000e+02 4.21000e+02 1.83000e+02 5.64000e+02]",743
3,one_person_household,float64,Census,0.0,[ 8595.   585.  1547. ... 13372. 15584. 11034.],2719
4,more_than_200k,float64,Census,0.0,[1379.   79.  269. ...  207. 4999. 1643.],1546
5,vacant_units,float64,Census,0.0,[3979.  809. 1865. ...  602. 6090. 2825.],2551
6,renter_occuppied,float64,Census,0.0,[14505.   403.  1213. ... 15135. 17670. 12490.],2702
7,black_homeowners,float64,Census,0.0,[ 353.    0.   10. ...  357.  618. 1277.],1309
8,owners_25_34,float64,Census,0.0,[1363.  141.  175. ... 3767. 5099. 3268.],1892
9,mean_household_size_renter,float64,Census,0.0,"[2.31 2.1  2.13 2.28 2.   3.13 1.91 2.69 2.76 2.01 2.11 2.46 2.21 2.19
 2.48 2.52 2.12 2.15 2.51 2.22 1.86 2.8  2.03 2.41 2.4  2.56 2.14 1.9
 2.06 2.38 2.3  2.49 2.6  2.78 1.7  2.62 2.26 2.96 1.84 3.05 1.92 2.08
 2.43 2.17 1.82 2.37 2.29 2.24 2.65 2.79 2.66 2.27 2.35 3.25 2.42 2.32
 3.07 3.82 2.83 2.64 2.44 2.77 2.61 2.2  2.54 2.53 1.69 1.96 2.5  2.98
 2.89 1.97 5.04 2.02 2.57 2.97 2.23 3.32 2.09 1.95 2.04 3.42 2.67 2.93
 2.55 2.63 1.94 3.18 3.22 2.68 2.94 3.74 2.39 2.91 2.92 2.58 3.14 4.15
 3.21 2.45 1.98 2.07 2.7  2.75 2.36 2.05 1.36 2.81 2.59 2.33 3.46 3.08
 2.99 2.86 3.06 2.74 3.15 2.18 2.47 3.27 3.43 2.72 2.71 1.62 2.84 3.29
 2.25 2.9  3.7  1.53 2.73 2.95 1.87 2.16 3.63 3.03 2.87 3.26 1.93 3.54
 3.04 3.12 3.01 3.39 1.66 3.31 1.72 2.34 5.74 3.41 2.88 1.58 2.82 1.89
 1.85 3.11 2.85 5.34 3.09 3.38 1.75 1.99 3.2  3.47 3.53 3.56 1.67 3.49
 3.79 3.1  3.23 3.5  1.83 3.33 3.45 3.4  3.16 1.71 3.73 3.87 1.59 1.78
 1.73 4.34 1.79 1.5  1.77 3.35 3.19 3.52 4.03 4.55 3.48 3.91 4.27 4.09
 1.81 3.97 1.74 1.88 3.24 1.23 1.45 1.48 3.51 1.6  5.23 3.94 4.38 1.76
 3.17 4.54 4.68 4.25 3.02 1.41 3.69 1.54 4.41 1.8  3.   3.36 3.55 3.44
 3.58 4.4  3.64 3.61]",228
