,Source,Field,L_Limit,U_Limit,Break_L_Limit,Break_U_Limit
0,Census,GEOID,-21580.0,86716.0,0,0
1,Census,mean_household_size_owner,2.035,3.115,21,122
2,Census,transportation_drive_alone,-26865.5,54114.5,0,446
3,Census,transportation_public,-176.5,299.5,0,537
4,Census,one_person_household,-7878.0,16386.0,0,421
5,Census,more_than_200k,-1560.5,2875.5,0,498
6,Census,mhhi,21309.25,90615.25,51,132
7,Census,mhhi_family,30286.5,110542.5,69,121
8,Census,mhhi_nonfamily,8788.5,55004.5,2,105
9,Census,vacant_units,-4388.0,9860.0,0,328
10,Census,renter_occuppied,-8675.5,17104.5,0,445
11,Census,black_homeowners,-1396.5,2335.5,0,445
12,Census,owners_25_34,-1945.0,3871.0,0,436
13,Census,mean_household_size_renter,1.4949999999999997,3.2950000000000004,6,94
14,Census,median_number_rooms,4.500000000000001,6.8999999999999995,72,49
15,Census,median_gross_rent,307.5,1263.5,3,198
16,Census,median_year_built,1950.0,2006.0,23,0
17,Census,plumbing_complete,-27727.5,57212.5,0,443
18,Census,kitchen_complete,-27767.0,57249.0,0,443
19,Census,median_gross_rent_frac_income,17.3,37.3,54,51
20,Census,lower_quartile_home_value,-32950.0,221850.0,0,218
21,Census,median_home_value,-27150.0,326050.0,0,208
22,Census,upper_quartile_home_value,-850.0,470750.0,0,191
23,Census,electricity_cost,-1744.5,3179.5,0,459
0,FRED,MORTGAGE30US,-1.487499999999999,16.0925,0,72
0,FHFA,yr,1974.5,2038.5,0,0
1,FHFA,qtr,-1.5,6.5,0,0
2,FHFA,index_nsa,-9.367499999999978,376.4125,0,251
3,FHFA,index_sa,-9.304999999999978,374.735,0,251
0,Redfin,Unnamed: 0,-424979.5,1272904.5,0,0
1,Redfin,period_duration,30.0,30.0,0,0
2,Redfin,region_type_id,5.0,5.0,0,0
3,Redfin,table_id,-1599.0,4825.0,0,0
4,Redfin,property_type_id,-11.5,16.5,0,0
5,Redfin,median_sale_price,-82500.0,481500.0,0,2817
6,Redfin,median_sale_price_mom,-0.45645084825000004,0.45772110975,2205,4034
7,Redfin,median_sale_price_yoy,-0.477801536,0.67968086,1589,3641
8,Redfin,median_list_price,-92625.0,527575.0,0,2173
9,Redfin,median_list_price_mom,-0.36887968449999997,0.3424624475,2312,3650
10,Redfin,median_list_price_yoy,-0.3778410805,0.5637241315,1686,3235
11,Redfin,median_ppsf,-33.219470550000025,267.74603737,0,2953
12,Redfin,median_ppsf_mom,-0.33101971225000004,0.32249608175,2746,3927
13,Redfin,median_ppsf_yoy,-0.3411421224999999,0.5383290654999999,1905,3498
14,Redfin,median_list_ppsf,-25.319541424999997,278.60933733499996,0,2693
15,Redfin,median_list_ppsf_mom,-0.2431605155,0.2307319845,2933,3633
16,Redfin,median_list_ppsf_yoy,-0.256699261,0.44305105899999997,1882,3093
17,Redfin,homes_sold,-78.0,138.0,0,7112
18,Redfin,homes_sold_mom,-0.81409136175,0.8317227522499999,193,4274
19,Redfin,homes_sold_yoy,-1.0882352945,1.1862745095,0,3461
20,Redfin,pending_sales,-57.0,103.0,0,6084
21,Redfin,pending_sales_mom,-0.9413265295,0.6981292505,0,3603
22,Redfin,pending_sales_yoy,-1.285714285,1.571428571,0,2766
23,Redfin,new_listings,-59.0,109.0,0,6104
24,Redfin,new_listings_mom,-1.0384615375,0.6230769225,0,2737
25,Redfin,new_listings_yoy,-1.1249999995,1.2083333325,0,3013
26,Redfin,inventory,-230.5,421.5,0,6057
27,Redfin,inventory_mom,-0.4026162795,0.17490310050000002,1333,1493
28,Redfin,inventory_yoy,-0.898148148,0.805555556,69,3398
29,Redfin,months_of_supply,-2.7500000000000004,9.65,0,3398
30,Redfin,months_of_supply_mom,-3.35,2.65,3856,3556
31,Redfin,months_of_supply_yoy,-5.35,4.65,2938,2381
32,Redfin,median_dom,-50.0,190.0,0,3180
33,Redfin,median_dom_mom,-54.5,61.5,3578,3494
34,Redfin,median_dom_yoy,-90.5,73.5,2967,2466
35,Redfin,avg_sale_to_list,0.8849589279999999,1.051087648,2523,571
36,Redfin,avg_sale_to_list_mom,-0.05240429925000001,0.04959833475000001,3148,2965
37,Redfin,avg_sale_to_list_yoy,-0.0632191335,0.0675905665,2308,2366
38,Redfin,sold_above_list,-0.38882097225,0.6480349537500001,0,1293
39,Redfin,sold_above_list_mom,-0.19435092524999997,0.17375341275,3796,3698
40,Redfin,sold_above_list_yoy,-0.24815060349999998,0.2825302085,3081,2557
41,Redfin,price_drops,-0.048363286749999984,0.33671027924999997,0,1140
42,Redfin,price_drops_mom,-0.2110626995,0.11324171250000001,898,818
43,Redfin,price_drops_yoy,-0.132403951,0.150553481,830,1006
44,Redfin,off_market_in_two_weeks,-0.4999999995,0.8333333325000001,0,1349
45,Redfin,off_market_in_two_weeks_mom,-0.23309589400000003,0.195475842,3473,3575
46,Redfin,off_market_in_two_weeks_yoy,-0.28107644875,0.32864586925,2570,3023
47,Redfin,parent_metro_region_metro_code,-10560.0,70240.0,0,0
