PC1,PC2,PC3
0.243358748,-0.62141774,-0.538518001
-1.165074417,-0.117812828,1.159598108
0.241615913,-1.883424925,-0.021386592
-0.943043549,-0.399704392,0.326187312
-0.699336193,-0.838263499,1.388387641
-0.651763677,-1.209607511,2.070998377
4.588518734,-6.218434774,-4.798098999
1.950278708,0.495554212,2.178686169
-1.432925928,1.429103962,-0.730330484
0.513601857,-1.480178036,-1.147282679
-0.935592993,0.325439696,1.215629342
-1.034008427,-0.434587415,1.330606066
-1.174640289,1.014702557,-0.053131228
-0.278041464,-0.202003696,-0.04866191
16.94047339,-1.202135631,0.439692695
11.73536962,-2.422887128,-1.506834486
0.033577311,-1.460910929,-0.112227856
-0.637507952,0.54489432,0.763357505
-0.793404618,-0.447331593,0.683755188
0.217137235,-1.631525482,-0.337338419
-1.390569561,0.936576197,0.104073396
-1.841127952,1.992021874,-0.921897483
0.393545561,-1.291077846,0.29028891
0.598217411,-2.151837687,0.314756226
-0.401756351,0.341314574,-1.969672206
-0.395223239,-1.271458528,1.622198212
10.99205262,7.083956064,3.147880611
-1.309205969,1.285187285,-0.571926083
-0.28001774,0.22190795,-0.774029637
2.203763786,-1.015921361,-0.190406632
4.962347962,-0.619731319,0.098054203
2.102368957,-2.565985305,0.240508926
0.107201059,-1.302301143,-0.673368642
-0.239110875,0.633774593,-0.004474125
5.164104758,1.056657774,-0.215943433
-0.770542392,0.512163846,1.133924757
-0.872761945,1.135166555,-0.458775133
-0.74953713,-0.18963177,0.004785958
-0.984739393,0.112636147,-0.931386323
-1.049648366,0.450406715,-1.533756857
-0.938931729,-0.649081317,1.878202512
-0.468595832,-0.262574895,-1.001830626
-2.167873916,2.092251256,-0.370064632
-0.350822872,-0.557391449,-1.498990349
-0.54720498,-1.059792868,0.997538238
11.10735887,-1.309133959,-2.209577489
-0.58060514,0.297133754,0.577144936
24.44575212,2.430855486,-2.022355816
-0.094838732,-0.668352849,0.656325844
-0.843637997,0.046878864,0.229937154
9.110693286,-4.583808961,-3.739568439
0.393471345,-2.770246865,1.67545851
0.264846282,1.587426509,-0.647936489
8.677798698,-0.800753526,-0.570113499
-0.903188574,-0.057693542,0.006043161
-1.430713092,0.357025697,0.508883549
-1.871679912,1.294198395,-0.212096346
-1.456958827,0.473603584,0.525978519
-0.786376805,-0.092846578,0.796036467
-1.422062117,1.2916394,0.181663543
2.964202078,-1.813007198,0.709985898
-2.166300387,1.937737351,-0.545757072
10.85692327,3.244243042,1.310578308
-1.708802193,1.588757597,-0.599091034
1.623706484,-1.320056251,-0.644472239
1.804937692,-3.117072297,0.855740597
11.17220069,4.34562548,-0.685840279
-0.320202702,-0.096443849,0.361084062
-2.069812296,1.691583602,0.2920444
1.676057478,-1.380278551,-0.915781188
1.050713784,-1.108781718,0.478717709
-0.499331879,0.879199445,-1.528906363
7.843863868,-3.937722464,0.848519141
-0.608590902,-0.721460795,-0.672078717
-1.144948676,0.973653725,-1.018444145
1.857289178,0.286294,0.039375149
-0.213559674,-0.281582282,1.196499601
-0.758178267,0.336646493,0.744978393
0.974426279,-2.357528066,-0.22133907
-0.833003386,0.072356102,-0.046689151
-1.057266693,0.704301028,-1.693757371
-2.028214025,2.840531916,-6.684752114
-1.598630822,1.234774815,-0.537552218
11.95601215,1.752526774,0.836776654
-1.751860185,1.345093778,0.159812184
-0.722990952,0.528692996,1.337084365
-0.282711268,-1.783227471,1.712644848
-1.066749789,0.061915947,0.012430451
-1.741459633,1.679555512,-1.135252704
-1.70953774,0.1887898,2.384448173
0.96435383,-1.260824428,-0.911821396
1.813188734,-2.515825983,0.02240231
-1.704442372,0.401449754,1.63966482
2.915775576,-0.785326481,-0.181979465
0.279210226,-1.303104407,-0.647862013
2.638924372,0.485715691,-0.559321443
-0.432343706,-0.905482641,0.876764054
-0.403519375,-0.856327773,0.075879823
-0.733208997,0.57997217,-0.568205335
-0.635009525,0.190735438,0.10821075
2.31986752,-5.165099904,-0.180856969
-1.638861562,0.352981816,2.304576628
-0.762656038,-0.642924894,1.445567581
5.041812195,-1.746147279,-0.958635085
0.348534518,-0.940170699,0.257204641
-0.742660952,-0.056248735,1.058344991
-1.602659291,2.434392439,-1.52047336
0.053119314,-0.327909951,0.315117465
-1.97559344,1.780930601,-0.903766025
-2.205481004,2.063843189,-1.092756317
-1.181565588,0.607139896,-0.923018795
-1.508394708,1.289331584,0.146419137
0.088775254,-1.258389678,-0.644755874
-1.30255223,0.924179173,0.711355408
-0.633258897,-0.688001618,1.031534355
-2.408649311,2.771770654,-4.619514889
0.997888531,-0.537447865,0.203058154
-0.444341132,0.886419246,1.362792788
-1.052983591,-0.144229161,0.771640367
0.349303289,-0.895291125,0.160549939
-2.210170628,2.03534372,0.057420496
