"","fips","county_name","state","attained_bachelors","attained_doctorate","attained_masters","attained_professional","black","black_homeowners","eight_rooms","electricity_cost","five_rooms","four_rooms","kitchen_complete","lower_quartile_home_value","mean_household_size_owner","mean_household_size_renter","median_age","median_gross_rent","median_gross_rent_frac_income","median_home_value","median_number_rooms","median_year_built","mhhi","mhhi_family","mhhi_nonfamily","more_than_200k","one_person_household","one_room","owners_25_34","plumbing_complete","renter_occupied","seven_rooms","six_rooms","three_rooms","total_pop","transportation_drive_alone","transportation_public","two_rooms","upper_quartile_home_value","vacant_units","white"
"1","01001","Autauga County","Alabama",0.164260110062099,0.0117130307467057,0.0921138991265714,0.0132276467915383,0.196844039217706,0.560548722800378,0.104426975589574,0.00841874084919473,0.192097641704592,0.115184112536202,0.993228404099561,91400,2.72,2.4,38.5,1085,25.4,164900,6,1992,62660,72441,31338,0.0467606149341142,0.260752196193265,0.00699213901530823,0.136377642201269,0.994967057101025,0.257549414348463,0.159577989242863,0.235498551923873,0.0482829954489036,58239,0.864010885176506,0.00544258825308035,0.009764170459247,243000,0.0957385188249897,0.730970655402737
"2","01003","Baldwin County","Alabama",0.206072467078659,0.0138291238879594,0.0857158732412626,0.0188853973094946,0.0869498219089424,0.628893587033122,0.0976322856697026,0.00826929693772222,0.215517028982532,0.150743657761389,0.993267576556945,151300,2.64,2.35,43.4,1093,28.9,226600,5.8,1996,64346,82801,35140,0.0709140956531712,0.291432503727492,0.0126967962353096,0.090315576574165,0.997270329166189,0.228787705012043,0.133792695646461,0.217077437316755,0.0498098765634881,227131,0.814018509498295,0.00129566488066245,0.0119658681208577,354100,0.28393682810049,0.825726122810184
"3","01005","Barbour County","Alabama",0.0673520422339539,0.00616838010558488,0.0288969158099472,0.00911364267852181,0.47246525990736,0.540083353763177,0.0598268620896546,0.0141945422535211,0.234164738150339,0.166795234421874,0.994278169014085,44000,2.48,2.41,40.2,605,25.9,89500,5.3,1980,36422,48768,20704,0.0329005281690141,0.329775528169014,0.00351418530899117,0.100636717368235,0.997909330985915,0.377860915492958,0.121796520099426,0.192937344647296,0.117510928259193,25259,0.831225623448765,0.000827325375251152,0.020827976343533,166600,0.221050827119225,0.446098420365018
"4","01007","Bibb County","Alabama",0.0794668991717008,0.00423491312200287,0.0296443918540201,0.00579186647568039,0.218855970016063,0.597826086956522,0.0700099855763897,0.00211774671749259,0.247864196161101,0.146787972927993,0.984469857405054,60200,3.03,2.7,39.7,744,29.1,102900,5.7,1985,54277,67979,22535,0.0330368487928844,0.271071579839051,0.00876511705314546,0.0469534050179211,0.993082027389524,0.212198221092757,0.142904693220903,0.241539997780983,0.032175746144458,22412,0.869652239179385,0,0.0146455120381671,174000,0.214135138133807,0.740496162769945
"5","01009","Blount County","Alabama",0.093021540277368,0.00442608439067572,0.0445559161994689,0.00703255630962919,0.0126689762923714,0.890756302521008,0.0970766909935989,0.00652582159624413,0.245851510580177,0.129000693113711,0.99150234741784,79200,2.86,2.28,41.1,691,27.4,138100,5.8,1989,52830,68945,23818,0.0371361502347418,0.255492957746479,0.007257308272516,0.109338867477023,0.994413145539906,0.208215962441315,0.133730174909284,0.217189220043218,0.0341664288335304,58884,0.86420269253282,0.0012542854753742,0.00945896359114445,222900,0.131569290985445,0.859231709802323
"6","01011","Bullock County","Alabama",0.0814308564781155,0.00625272647956958,0.0242838446997237,0.0049440162861713,0.689774696707106,0.650044130626655,0.0882352941176471,0.00438724773325534,0.197478991596639,0.125829279080053,1,38000,2.88,2.99,38.7,473,35.5,72600,5.6,1987,29063,46563,16055,0.0146241591108511,0.377595788242176,0.0145953118089341,0.0207207207207207,1,0.35068733547821,0.110570544007077,0.233524988942946,0.111676249447147,10386,0.838658146964856,0,0.015922158337019,127800,0.243918620079611,0.203735798189871
"7","01013","Butler County","Alabama",0.0812163777644949,0.0017931858936043,0.047519426180514,0.00986252241482367,0.447943277201397,0.573125463994061,0.0738671001828897,0.00765579543714592,0.360089412720992,0.121011989433042,0.982391670494564,52800,2.89,2.89,41.2,666,28.8,93500,5.5,1980,45236,62762,25511,0.0264890522125249,0.308069208390752,0.00416581995529364,0.0458967851099831,0.996631450007656,0.276067983463482,0.118471855313961,0.224852672221093,0.0220483641536273,19181,0.865917302288238,0.00120433560818948,0.00284495021337127,158000,0.336415362731152,0.509201814295396
"8","01015","Calhoun County","Alabama",0.114112355630864,0.0125711722711586,0.0565017504952469,0.0120977287168434,0.210350010736526,0.485807059809364,0.0904503690314806,0.0146066147420702,0.210291459557162,0.137596023497515,0.989502201151371,71700,2.58,2.52,39.7,752,27.5,123200,5.8,1979,50977,63358,27968,0.0292809572186477,0.314617902697821,0.0115793041120651,0.0951941732133202,0.996365278248109,0.290190766452195,0.153374002108751,0.221889591805995,0.052963548727218,116425,0.849282592562052,0.00616393172260246,0.0101860219912637,192200,0.166007681879801,0.713532316942238
"9","01017","Chambers County","Alabama",0.0959803447720316,0.0018527468986628,0.0340744320927985,0.004631867246657,0.400844002985589,0.599303135888502,0.0801436134607193,0.0137163758286977,0.209882553398649,0.127000547678452,0.995427874723767,66200,2.62,2.6,42,790,22.6,107000,5.7,1977,47232,54851,25646,0.0250704869313419,0.262135182504001,0.0741191504898679,0.0899988997689515,0.994665853844395,0.307399222738703,0.172701271831072,0.207205014300493,0.0425972129252115,34834,0.869787119736754,0.00329057820159828,0.0075457920038946,173300,0.201423963974929,0.548171326864558
"10","01019","Cherokee County","Alabama",0.0622694727706661,0.00688869602950749,0.0426882187025385,0.0163809937079627,0.0462062062062062,0.686868686868687,0.0967150807655762,0.00515889393314073,0.224514727840369,0.148771548798697,0.997730086669418,67300,2.59,2.41,46.7,682,26.8,141000,5.8,1989,43475,60494,25471,0.036215435410648,0.297977713578209,0.00780507669336229,0.0615222821085842,1,0.215125877011969,0.127053074521515,0.245961721189086,0.0418080629835754,24975,0.848207792207792,0.00675324675324675,0.0106556264422424,229000,0.342201710329849,0.909349349349349
