"","region_id","size_rank","region_name","region_type","state_name","metro","state_code_fips","county_code_fips","house_price_jan_2022","house_price_feb_2022","house_price_mar_2022","house_price_apr_2022","house_price_may_2022","house_price_jun_2022","house_price_july_2022","house_price_aug_2022","house_price_sep_2022","house_price_oct_2022","house_price_nov_2022","house_price_dec_2022","house_price_jan_2023","house_price_feb_2023","house_price_mar_2023","fips","house_price_avg_q1_2022","house_price_avg_q2_2022","house_price_avg_q3_2022","house_price_avg_q4_2022","house_price_avg_q1_2023","house_price_avg_2022"
"1",3101,0,"Los Angeles County","county","CA","Los Angeles-Long Beach-Anaheim, CA","06","037",809102.6778,819687.7597,831397.6,842162.5841,851126.7156,856459.7776,858997.5654,857505.2136,853918.6639,850108.7311,847577.6294,844277.5659,836894.1425,826900.3014,818632.8793,"06037",820062.679166667,849916.3591,856807.147633333,847321.3088,827475.7744,843526.873675
"2",139,1,"Cook County","county","IL","Chicago-Naperville-Elgin, IL-IN-WI","17","031",267146.2683,270179.4813,273868.3253,277602.2468,279622.8549,280457.2626,279823.1292,278506.3656,276435.7496,274694.0111,273915.8779,273175.143,273785.9514,274519.5132,275811.1992,"17031",270398.024966667,279227.454766667,278255.081466667,273928.344,274705.5546,275452.2263
"3",1090,2,"Harris County","county","TX","Houston-The Woodlands-Sugar Land, TX","48","201",256882.7699,262016.0268,267657.7091,272705.1229,277060.7487,280884.4263,283590.8092,284811.1542,284841.5243,284437.9478,283959.2133,282799.2686,281076.1609,279510.7337,278920.048,"48201",262185.501933333,276883.432633333,284414.4959,283732.143233333,279835.647533333,276803.893425
"4",2402,3,"Maricopa County","county","AZ","Phoenix-Mesa-Chandler, AZ","04","013",431241.0463,438483.4281,446975.3221,456043.1201,465020.2553,472579.274,476492.9997,476035.5602,471671.8677,465965.8377,459761.1226,453158.5433,447826.5994,443937.1617,442423.0065,"04013",438899.932166667,464547.5498,474733.475866667,459628.5012,444728.922533333,459452.364758333
"5",2841,4,"San Diego County","county","CA","San Diego-Chula Vista-Carlsbad, CA","06","073",806081.2411,826665.445,851810.5553,874365.5683,891237.0076,900613.9679,901101.8148,893788.4779,881707.2616,870736.1153,862342.4433,855085.021,848071.7155,843462.6527,843046.9373,"06073",828185.747133333,888738.847933333,892199.184766667,862721.1932,844860.435166667,867961.243258333
"6",1286,5,"Orange County","county","CA","Los Angeles-Long Beach-Anaheim, CA","06","059",956020.8554,979179.2195,1005111.948,1028789.962,1046880.144,1056751.172,1057123.865,1051723.296,1043827.688,1039041.85,1035506.746,1030751.36,1020935.799,1010873.633,1005866.36,"06059",980104.007633333,1044140.426,1050891.61633333,1035099.98533333,1012558.59733333,1027559.008825
"7",581,6,"Kings County","county","NY","New York-Newark-Jersey City, NY-NJ-PA","36","047",668841.1077,672548.9268,678866.9498,684802.9082,689972.7292,694999.5573,697883.0036,697959.0603,693470.8321,690117.0617,687176.4014,683411.7988,679275.8702,677452.63,679961.3459,"36047",673418.994766667,689925.0649,696437.632,686901.753966667,678896.615366667,686670.861408333
"8",2964,7,"Miami-Dade County","county","FL","Miami-Fort Lauderdale-Pompano Beach, FL","12","086",402939.589,412174.9232,422947.897,433753.9684,443733.5714,452632.0781,459673.7783,464683.808,467385.4695,469247.4624,470863.3118,471491.4266,471606.0219,471781.7993,473176.907,"12086",412687.469733333,443373.205966667,463914.351933333,470534.066933333,472188.242733333,447627.273641667
"9",978,8,"Dallas County","county","TX","Dallas-Fort Worth-Arlington, TX","48","113",286106.8742,293618.9097,301884.4444,309041.1657,314557.2242,318834.8447,321085.5257,321513.2909,320699.4126,319849.8592,318886.7609,317206.8177,315079.891,313330.4002,312708.6944,"48113",293870.0761,314144.411533333,321099.409733333,318647.8126,313706.328533333,311940.427491667
"10",2832,9,"Riverside County","county","CA","Riverside-San Bernardino-Ontario, CA","06","065",541886.0855,552033.766,564160.7754,576533.8335,587603.2712,595625.2851,599067.2522,597821.8526,593262.4849,588648.2035,584388.1681,579882.4749,574455.601,570234.1691,568514.9125,"06065",552693.5423,586587.463266667,596717.196566667,584306.282166667,571068.227533333,580076.121075
"11",1347,10,"Queens County","county","NY","New York-Newark-Jersey City, NY-NJ-PA","36","081",557418.929,557915.3677,559296.213,561448.5337,564490.0861,568580.2178,571105.1109,571232.258,567690.6097,564259.9219,561377.406,557051.7276,552358.6704,548257.6595,547642.3259,"36081",558210.1699,564839.612533333,570009.3262,560896.351833333,549419.551933333,563488.865116667
"12",207,11,"King County","county","WA","Seattle-Tacoma-Bellevue, WA","53","033",807590.1199,829615.8022,853984.1739,873674.605,884954.7892,886018.153,877053.0571,862758.1762,848087.5918,838651.8892,833314.6557,829155.5245,825507.6063,821867.9666,819652.7022,"53033",830396.698666667,881549.1824,862632.9417,833707.356466667,822342.758366667,852071.544808333
