PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.074414902,0.072795081,-0.073199276,-0.062027658,0.026705571,0.03790549,0.048680741,0.007788612,0.006075859,-0.006095773
-0.064005692,-0.056417776,-0.105184835,-0.004691639,-0.071090702,-0.032430787,-0.01963055,0.005955953,0.038748301,0.009589577
0.133728355,-0.055679987,-0.034247309,-0.034577403,0.158417063,-0.049023859,-0.038093207,-0.02054882,0.008942877,0.001166143
-0.050600369,-0.068835655,0.011463963,-0.01235657,-0.074325402,-0.140557376,-0.056074233,0.010949637,0.024716276,0.00999018
0.013167341,-0.117198648,-0.069830294,0.023085154,0.002655016,-0.033731964,-0.014568646,0.033979177,-0.001900442,0.001083386
0.049431326,-0.199289752,-0.026393155,0.056481062,-0.019221153,-0.000428141,-0.033891087,0.039842472,-0.036614421,0.003922343
0.74787,0.255193077,0.085943259,-0.336117267,0.14753519,0.040062942,-0.021747024,-0.004037086,0.012352882,0.009004739
0.071386345,-0.05800041,-0.114046905,0.122660165,-0.029106322,-0.028854617,-0.03561902,-0.013178121,0.013337502,-0.033764029
-0.194754808,0.056568195,0.047257622,-0.007972412,-0.003188717,0.01525591,0.007939698,0.004630198,-0.00976473,-0.005617447
0.15385787,0.049478086,0.035975354,-0.092559828,-0.016504157,0.057389208,-0.000320479,0.007844875,-0.010656337,0.006081388
-0.076164971,-0.048908502,-0.099807963,0.029383974,-0.028542616,-0.010806938,0.018643956,0.009975064,-0.00327761,-0.001145537
-0.015135167,-0.102088301,-0.074146127,0.016172536,-0.06125778,0.010301014,0.026302467,0.013078045,0.009345198,0.008805626
-0.154127222,0.041023799,-0.026562472,-0.013335522,-0.026480079,-0.017254537,-0.036610691,-0.028987771,-0.01141313,0.004718384
0.009872688,0.049605997,-0.105753343,-0.043859573,-0.004569052,0.009247311,0.023005865,-0.032892758,0.03121318,0.000182155
1.050610951,0.18043745,0.02687675,0.239603496,0.051188027,-0.051754567,-0.032191702,-0.049203319,0.013725216,-0.074546771
0.862920158,0.197888777,0.028949216,0.019906487,0.048033021,-0.063574013,-0.036317591,-0.11193289,0.030960331,0.08782822
0.114583758,-0.042242827,0.024888698,-0.046626058,-0.009592964,0.005521706,-0.035334244,-0.01401027,-0.046533658,0.00206576
-0.084246305,0.017086667,-0.104347385,0.004867331,-0.026361791,-0.012744101,-0.013251703,0.005851681,-0.013083322,-0.004717097
-0.001898508,-0.122194707,0.019904795,0.040451899,-0.019218288,-0.041432724,0.088238889,0.046819002,0.017129524,0.003678112
0.145334896,-0.075886465,0.108847592,-0.027066441,0.019896797,0.05163837,-0.01796372,0.004613757,-0.061577643,-0.001968198
-0.161824329,0.010245966,-0.05733339,0.010452159,0.043899744,-0.045515199,0.025850759,-0.013812958,0.001228781,0.00310011
-0.263943594,0.190566551,-0.108027069,-0.082413747,-0.071824424,0.003277562,-0.009184149,-0.008214218,0.0455347,-0.001805445
0.131289675,-0.012288111,-0.069605347,-0.04168049,-0.03198903,0.002948285,0.014790733,0.005926585,0.001297067,-0.003679988
0.183237711,-0.030615532,-0.123250489,-0.056504515,0.066469015,-0.087228581,-0.010967638,-0.016120638,0.031378059,0.004635724
-0.029359221,0.209524457,-0.022059593,-0.140588091,-0.108059386,0.033293536,0.035710059,0.00262794,0.011228798,0.001950173
0.075105833,-0.160883661,-0.038914415,0.023516537,-0.052909433,-0.026948122,-0.046996051,-0.035944995,0.004778616,0.008892557
0.134792979,0.247984673,-0.087621648,0.491980255,-0.058176077,0.029192181,-0.025318805,-0.006443533,0.005601458,0.06159815
-0.184019031,0.091596231,-0.047613981,-0.035655437,-0.033247926,-0.046162886,-0.013445646,-0.02228219,0.025005169,0.013038705
-0.035038313,0.113816184,-0.064722966,-0.062010872,0.047919932,0.023966121,0.009114237,0.002414952,0.00915086,-0.009211962
0.239504653,0.033026553,0.028677722,-0.000911671,-0.057842844,0.076876982,0.041211605,0.027109154,-0.075338914,0.013427525
0.323121275,0.082424292,-0.043582535,0.045008557,0.040845908,-0.086861759,-0.029257403,-0.021568098,0.030840136,-0.054780809
0.336006588,0.011462045,-0.146722435,-0.069380284,0.022291342,-0.022724165,0.033331674,-0.059379521,0.002726396,-0.00564899
0.116065998,0.020998578,-0.047601762,-0.051404661,0.099362283,-0.011621787,0.092137116,-0.002035526,-0.041446194,0.003134151
-0.05311759,0.032748398,-0.024107369,0.008646271,0.002814669,0.026083903,0.022575664,0.001824713,-0.020368002,0.014904107
0.233877244,0.138232441,0.003610682,0.10228091,0.038510376,-0.032947127,0.037026418,-0.034648349,-0.001800748,-0.043066458
-0.086970019,-0.039380371,-0.07518489,0.034183893,-0.02719959,-0.001824532,-0.019516933,0.01127393,0.018166516,-0.005626459
-0.134109902,0.08223568,-0.019861348,-0.01795113,-0.021734363,0.017005268,0.013719063,0.006659924,-0.019648272,0.007119485
-0.001861667,-0.082623452,0.059510967,0.024247913,0.022895937,0.030928028,0.078240934,-0.04704817,-0.018755365,0.003783889
-0.089336075,0.001216149,0.073976946,-0.019928677,0.109191719,-0.050357675,-0.035059539,-0.038300314,0.000842832,0.001245831
-0.07336926,-0.035568982,0.209045852,0.006456722,-0.022814423,-0.053357481,0.123561643,-0.005158523,-0.026145219,0.004692761
-0.021248311,-0.114326215,-0.153696663,0.024163221,-0.04119045,-0.080888261,0.001916565,0.068333178,0.065546903,0.002428663
0.001789618,0.059146642,-0.017365513,-0.071023088,-0.024484251,-0.010478144,0.033345113,-0.03068957,0.058922838,0.00903791
-0.287841017,0.144857195,-0.094134417,-0.059330703,-0.092934856,0.049698445,-0.026386828,0.010717716,0.041649953,0.002359514
0.010394613,-0.025336602,0.169633007,-0.037885163,-0.033100488,-0.131030983,-0.006238468,-0.018831579,0.022942507,0.0015567
0.039464453,-0.141974273,0.009071737,0.035116113,0.071050893,-0.008571141,-0.010360662,0.021864699,-0.024007533,0.002875788
0.756149357,0.296959168,0.021915581,0.049956339,0.268084587,0.031124316,0.088622169,0.060409762,-0.037726349,0.07619972
-0.050274605,0.004245359,-0.090749152,0.007922087,0.028143487,0.039192899,0.012443716,-0.000655015,0.033614707,-0.002903853
1.16187324,0.591402696,0.177616421,0.306859824,0.126383263,-0.052302701,-0.108502764,0.023344828,-0.005614132,-0.258630268
0.066275397,-0.040558524,-0.06528026,-0.000598029,-0.016893213,0.033126922,0.065535191,0.028638397,0.001490795,-0.004285854
-0.083468612,0.078675073,-0.182236453,-0.048154593,0.110571303,-0.04503105,-0.043126426,-0.007027013,-0.026393369,-0.003634107
0.871922362,0.298847444,0.135029237,-0.189167811,0.063618972,-0.004266082,-0.039540584,0.050136076,-0.086255861,-0.061371793
0.24328842,-0.254628768,-0.006696536,0.046135047,0.020308561,-0.040979716,0.029248646,-0.009248497,-0.019930189,0.012005512
-0.091633427,0.171621671,-0.06009328,-0.021142844,-0.05952402,0.026073464,0.030010818,0.023847399,-0.017695898,0.027259451
0.564762018,0.196709577,-0.05374351,0.072169621,0.132586316,-0.017567824,0.041152206,0.018879415,0.007632107,-0.047567704
-0.037010338,-0.074513981,0.056783405,0.024642021,0.051482605,0.017845527,0.048879248,-0.021547107,-0.028236635,0.003655806
