PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.243358748,-0.621417946,-0.538516285,1.24601445,-0.277605848,0.218999528,-0.193943368,0.051073352,-0.295181535,-0.439522837
-1.165074418,-0.11781273,1.159597487,0.196993883,-0.315853273,0.554158031,0.778354206,0.273451697,0.322237138,-0.024933602
0.241615913,-1.883424996,-0.021385962,1.235617773,0.495976488,-0.97633582,-0.661817006,0.135261671,0.126839822,0.903098545
-0.943043551,-0.39970417,0.3261857,-1.10090739,-0.135787349,0.409426592,1.009431928,0.881444882,0.68620379,0.916943103
-0.699336193,-0.838263564,1.388388165,0.064971312,-0.072503918,-0.166456031,0.315149142,0.300239735,0.236530452,0.328139682
-0.651763678,-1.209607452,2.070997962,-0.758221513,0.154397261,-0.26654884,0.32156062,-0.157529616,0.295933662,0.229264876
4.588518733,-6.218434854,-4.798098051,2.073552235,0.479102809,0.576947082,-0.700615516,-1.016105383,-0.325274092,0.662668299
1.950278711,0.495553902,2.178688272,0.166315465,-0.516061422,0.265990143,-0.315223526,0.311339068,0.558860858,0.022172216
-1.432925928,1.429103948,-0.730330449,-0.206235139,-0.025112344,-0.040740193,-0.080524569,-0.095440008,0.087845825,-0.157969936
0.513601856,-1.480177981,-1.147282922,0.067791569,-0.26738316,0.222097292,0.048293286,-0.649103352,-0.078718951,-0.268088368
-0.935592993,0.325439807,1.215628484,0.418554702,-0.226704708,0.228611308,0.263535879,0.393828322,0.015012273,-0.176557936
-1.034008428,-0.43458732,1.330605479,-0.112307166,-0.161460213,0.246842957,0.470417366,0.221547944,-0.102257617,-0.426932476
-1.17464029,1.014702797,-0.053133042,0.196510993,-0.250917402,0.260563796,0.295432782,-0.095828342,0.273673105,0.124689483
-0.278041465,-0.202003508,-0.048663333,1.266159142,-0.359030566,0.338082632,0.020836799,0.148958776,-0.214364023,-0.366764264
16.9404734,-1.20213448,0.439682113,-0.055365652,1.169690853,-1.18860912,-0.268567877,1.408904376,3.379125622,-2.380664682
11.73536961,-2.422885012,-1.50685114,0.966534269,1.850179813,-1.194291815,1.965429677,0.427633511,0.739884299,-1.028681605
0.03357731,-1.460910763,-0.112229066,-0.310443724,-0.167589651,-0.078352842,0.147337555,-0.354769973,0.171578228,0.107654151
-0.637507952,0.544894347,0.7633573,0.688512759,-0.411563393,0.436609558,0.317550276,0.166410895,0.308231301,-0.018566153
-0.793404618,-0.44733178,0.683756721,-0.918632586,0.36085766,-0.122178401,0.108479169,1.096118326,-0.43166589,-0.139332212
0.217137235,-1.631525497,-0.337338296,-0.913795995,0.21106467,-0.506484151,-0.30287045,-0.717919438,-0.037268368,-0.0437437
-1.390569561,0.936576309,0.104072579,0.737176915,-0.108035575,-0.356411173,-0.0904068,0.68127073,-0.107506552,0.19491206
-1.841127952,1.992021879,-0.921897561,1.274783842,-0.758095379,1.108355855,0.715947827,-0.026504496,0.366679549,-0.397822399
0.393545561,-1.291078047,0.290290485,0.415717758,-0.35066932,0.436672963,0.266065947,0.153301098,-0.034059266,-0.240873648
0.598217411,-2.151837746,0.314756864,1.38041135,-0.113477036,-0.078247122,0.065924342,0.783403731,0.111533329,0.657385272
-0.401756351,0.341314452,-1.969671293,0.529438292,-0.632020905,1.520319447,0.729237376,-0.117577428,-0.170151552,-0.674299981
-0.395223241,-1.271458222,1.622195981,-0.59559366,0.07933392,0.10343887,0.40585739,-0.015507081,0.267087752,0.052896296
10.99205262,7.08395604,3.147881387,-0.204973187,-0.922524691,0.662081678,-0.353577468,-1.10230987,-2.636531064,1.955857835
-1.30920597,1.285187584,-0.571928294,0.505723101,-0.496580797,0.38294301,0.512240342,0.280147195,0.05941922,0.260067917
-0.280017739,0.221907709,-0.774027816,1.466128676,-0.063375165,0.26183333,-0.252695241,-0.121971809,0.030077799,-0.110185665
2.203763789,-1.015921673,-0.190404396,-0.553111884,-0.706660056,0.446899152,0.070029541,-0.657217257,-1.09841521,-0.049885764
4.962347965,-0.619732026,0.098059557,0.519951597,-0.080290021,0.397046239,-0.794873584,0.874750845,0.877141473,0.309703714
2.102368956,-2.565985172,0.240508057,1.654185666,-0.216700009,0.432555281,-0.157127494,0.612425493,-0.246941795,-0.346120122
0.107201058,-1.302301087,-0.673368956,1.274901653,0.066342709,-0.484597331,-0.550077153,0.802111336,-0.728605441,-0.041155185
-0.239110876,0.63377472,-0.004474979,0.337469351,-0.28653443,-0.030842277,0.008631041,-0.1841024,-0.562312909,0.064125078
5.164104759,1.056657265,-0.215939376,0.329565039,0.154369855,0.372378928,-1.18776034,0.739326785,-0.086462959,-0.03926485
-0.770542392,0.512163964,1.133923771,0.260592935,-0.113755749,0.286816578,0.190995724,-0.02115574,0.252468627,-0.013946819
