division,year,qtr,index_po_not_seasonally_adjusted,index_po_seasonally_adjusted
DV_ENC,1991,1,100.00,100.00
DV_ENC,1991,2,101.33,100.52
DV_ENC,1991,3,102.02,101.25
DV_ENC,1991,4,102.66,102.28
DV_ENC,1992,1,103.74,103.76
DV_ENC,1992,2,105.48,104.64
DV_ENC,1992,3,106.47,105.66
DV_ENC,1992,4,107.41,107.02
DV_ENC,1993,1,107.76,107.82
DV_ENC,1993,2,110.04,109.13
DV_ENC,1993,3,111.53,110.65
DV_ENC,1993,4,112.43,112.06
DV_ENC,1994,1,113.53,113.61
DV_ENC,1994,2,116.00,115.01
DV_ENC,1994,3,117.10,116.15
DV_ENC,1994,4,117.88,117.53
DV_ENC,1995,1,118.90,118.99
DV_ENC,1995,2,121.27,120.22
DV_ENC,1995,3,122.98,121.94
DV_ENC,1995,4,123.64,123.32
DV_ENC,1996,1,124.80,124.90
DV_ENC,1996,2,127.69,126.57
DV_ENC,1996,3,128.74,127.65
DV_ENC,1996,4,129.10,128.78
DV_ENC,1997,1,129.66,129.75
DV_ENC,1997,2,132.05,130.91
DV_ENC,1997,3,133.19,132.02
DV_ENC,1997,4,133.44,133.14
DV_ENC,1998,1,134.51,134.60
DV_ENC,1998,2,137.10,135.93
DV_ENC,1998,3,138.74,137.48
DV_ENC,1998,4,139.92,139.62
DV_ENC,1999,1,141.27,141.37
DV_ENC,1999,2,144.34,143.13
DV_ENC,1999,3,146.46,145.07
DV_ENC,1999,4,146.99,146.72
DV_ENC,2000,1,148.85,148.99
DV_ENC,2000,2,152.18,150.89
DV_ENC,2000,3,154.25,152.73
DV_ENC,2000,4,154.56,154.28
DV_ENC,2001,1,156.15,156.37
DV_ENC,2001,2,159.49,158.10
DV_ENC,2001,3,161.32,159.69
DV_ENC,2001,4,161.93,161.62
DV_ENC,2002,1,163.08,163.41
DV_ENC,2002,2,166.40,164.89
DV_ENC,2002,3,168.52,166.78
DV_ENC,2002,4,169.16,168.81
DV_ENC,2003,1,170.19,170.69
DV_ENC,2003,2,173.98,172.33
DV_ENC,2003,3,176.28,174.37
DV_ENC,2003,4,176.96,176.61
DV_ENC,2004,1,177.80,178.49
DV_ENC,2004,2,182.20,180.35
DV_ENC,2004,3,184.44,182.34
DV_ENC,2004,4,184.41,184.12
DV_ENC,2005,1,184.83,185.72
DV_ENC,2005,2,189.59,187.52
DV_ENC,2005,3,191.24,188.93
DV_ENC,2005,4,190.51,190.33
DV_ENC,2006,1,189.86,190.96
DV_ENC,2006,2,193.58,191.28
DV_ENC,2006,3,193.23,190.78
DV_ENC,2006,4,190.18,190.05
DV_ENC,2007,1,189.29,190.66
DV_ENC,2007,2,191.35,188.92
DV_ENC,2007,3,189.11,186.57
DV_ENC,2007,4,183.32,183.15
DV_ENC,2008,1,178.56,180.22
DV_ENC,2008,2,178.62,176.22
DV_ENC,2008,3,175.57,173.04
DV_ENC,2008,4,168.81,168.51
DV_ENC,2009,1,167.47,169.49
DV_ENC,2009,2,169.44,167.08
DV_ENC,2009,3,168.18,165.49
DV_ENC,2009,4,165.15,164.73
DV_ENC,2010,1,161.11,163.49
DV_ENC,2010,2,164.81,162.42
DV_ENC,2010,3,163.12,160.22
DV_ENC,2010,4,160.05,159.66
DV_ENC,2011,1,153.22,155.82
DV_ENC,2011,2,156.66,154.29
DV_ENC,2011,3,158.54,155.41
DV_ENC,2011,4,155.47,155.32
DV_ENC,2012,1,152.75,155.45
DV_ENC,2012,2,159.99,157.42
DV_ENC,2012,3,161.87,158.50
DV_ENC,2012,4,159.39,159.51
DV_ENC,2013,1,159.51,162.24
DV_ENC,2013,2,167.69,164.86
DV_ENC,2013,3,170.58,167.05
DV_ENC,2013,4,168.01,168.33
DV_ENC,2014,1,167.41,170.06
DV_ENC,2014,2,174.21,171.20
DV_ENC,2014,3,176.76,173.30
DV_ENC,2014,4,174.77,175.16
DV_ENC,2015,1,174.27,176.77
DV_ENC,2015,2,182.08,178.90
DV_ENC,2015,3,183.22,179.88
DV_ENC,2015,4,181.83,182.28
DV_ENC,2016,1,181.73,183.98
DV_ENC,2016,2,189.78,186.54
DV_ENC,2016,3,192.88,189.56
DV_ENC,2016,4,191.67,192.24
DV_ENC,2017,1,192.99,195.00
DV_ENC,2017,2,200.53,197.15
DV_ENC,2017,3,203.31,200.05
DV_ENC,2017,4,202.44,203.11
DV_ENC,2018,1,205.24,207.03
DV_ENC,2018,2,212.96,209.41
DV_ENC,2018,3,215.39,212.14
DV_ENC,2018,4,214.05,214.77
DV_ENC,2019,1,215.83,217.55
DV_ENC,2019,2,224.07,220.20
DV_ENC,2019,3,226.54,223.32
DV_ENC,2019,4,225.90,226.78
DV_ENC,2020,1,229.46,231.19
DV_ENC,2020,2,236.78,232.43
DV_ENC,2020,3,244.99,241.65
DV_ENC,2020,4,250.71,252.04
DV_ENC,2021,1,257.48,259.32
DV_ENC,2021,2,274.19,268.71
DV_ENC,2021,3,282.48,278.71
DV_ENC,2021,4,286.17,288.27
DV_ENC,2022,1,296.90,298.80
DV_ENC,2022,2,313.56,306.83
DV_ENC,2022,3,313.39,309.29
DV_ENC,2022,4,309.03,311.78
DV_ESC,1991,1,100.00,100.00
DV_ESC,1991,2,100.50,100.37
DV_ESC,1991,3,100.88,100.68
DV_ESC,1991,4,101.84,101.86
DV_ESC,1992,1,103.27,103.28
DV_ESC,1992,2,103.47,103.32
DV_ESC,1992,3,105.13,104.90
DV_ESC,1992,4,105.90,105.92
DV_ESC,1993,1,106.61,106.65
DV_ESC,1993,2,108.22,108.05
DV_ESC,1993,3,109.77,109.50
DV_ESC,1993,4,110.88,110.91
DV_ESC,1994,1,112.69,112.79
DV_ESC,1994,2,114.55,114.33
DV_ESC,1994,3,115.87,115.54
DV_ESC,1994,4,116.63,116.70
DV_ESC,1995,1,117.88,118.02
DV_ESC,1995,2,119.43,119.15
DV_ESC,1995,3,120.99,120.62
DV_ESC,1995,4,122.12,122.23
DV_ESC,1996,1,122.78,122.95
DV_ESC,1996,2,124.82,124.47
DV_ESC,1996,3,126.39,126.01
DV_ESC,1996,4,126.83,126.98
DV_ESC,1997,1,128.05,128.23
DV_ESC,1997,2,129.39,128.98
DV_ESC,1997,3,130.21,129.84
DV_ESC,1997,4,130.39,130.57
DV_ESC,1998,1,131.85,132.03
DV_ESC,1998,2,134.13,133.67
DV_ESC,1998,3,135.24,134.88
DV_ESC,1998,4,136.55,136.74
DV_ESC,1999,1,138.14,138.33
DV_ESC,1999,2,139.91,139.40
DV_ESC,1999,3,141.15,140.81
DV_ESC,1999,4,141.83,141.99
DV_ESC,2000,1,143.09,143.30
DV_ESC,2000,2,144.97,144.46
DV_ESC,2000,3,145.64,145.28
DV_ESC,2000,4,145.78,145.90
DV_ESC,2001,1,146.71,146.98
DV_ESC,2001,2,148.66,148.15
DV_ESC,2001,3,149.51,149.09
DV_ESC,2001,4,150.55,150.65
DV_ESC,2002,1,151.16,151.50
DV_ESC,2002,2,152.81,152.30
DV_ESC,2002,3,154.32,153.82
DV_ESC,2002,4,155.56,155.67
DV_ESC,2003,1,156.76,157.18
DV_ESC,2003,2,159.14,158.59
DV_ESC,2003,3,161.18,160.58
DV_ESC,2003,4,161.84,162.00
DV_ESC,2004,1,163.28,163.80
DV_ESC,2004,2,166.53,165.87
DV_ESC,2004,3,169.19,168.49
DV_ESC,2004,4,170.15,170.37
DV_ESC,2005,1,172.72,173.42
DV_ESC,2005,2,176.50,175.66
DV_ESC,2005,3,179.88,179.03
DV_ESC,2005,4,182.78,183.14
DV_ESC,2006,1,185.94,186.88
DV_ESC,2006,2,190.49,189.39
DV_ESC,2006,3,192.60,191.57
DV_ESC,2006,4,193.47,193.90
DV_ESC,2007,1,195.24,196.53
DV_ESC,2007,2,199.22,197.88
DV_ESC,2007,3,198.52,197.27
DV_ESC,2007,4,196.75,197.24
DV_ESC,2008,1,194.20,195.84
DV_ESC,2008,2,195.71,194.22
DV_ESC,2008,3,193.13,191.71
DV_ESC,2008,4,189.05,189.49
DV_ESC,2009,1,186.53,188.45
DV_ESC,2009,2,189.25,187.64
DV_ESC,2009,3,187.87,186.27
DV_ESC,2009,4,186.56,187.04
DV_ESC,2010,1,181.66,183.80
DV_ESC,2010,2,184.26,182.58
DV_ESC,2010,3,182.60,180.92
DV_ESC,2010,4,178.85,179.36
DV_ESC,2011,1,174.45,176.63
DV_ESC,2011,2,177.16,175.40
DV_ESC,2011,3,178.75,177.08
DV_ESC,2011,4,176.40,177.01
DV_ESC,2012,1,175.09,177.22
DV_ESC,2012,2,181.21,179.32
DV_ESC,2012,3,181.05,179.45
DV_ESC,2012,4,180.71,181.44
DV_ESC,2013,1,181.43,183.48
DV_ESC,2013,2,187.43,185.44
DV_ESC,2013,3,187.82,186.29
DV_ESC,2013,4,186.21,187.06
DV_ESC,2014,1,186.52,188.37
DV_ESC,2014,2,191.81,189.80
DV_ESC,2014,3,192.51,191.08
DV_ESC,2014,4,192.12,193.04
DV_ESC,2015,1,193.94,195.62
DV_ESC,2015,2,199.23,197.25
DV_ESC,2015,3,200.53,199.18
DV_ESC,2015,4,200.82,201.73
DV_ESC,2016,1,202.46,204.00
DV_ESC,2016,2,208.11,206.18
DV_ESC,2016,3,210.64,209.31
DV_ESC,2016,4,210.92,211.78
DV_ESC,2017,1,212.74,214.18
DV_ESC,2017,2,219.48,217.63
DV_ESC,2017,3,222.38,221.02
DV_ESC,2017,4,222.41,223.24
DV_ESC,2018,1,225.67,227.11
DV_ESC,2018,2,231.57,229.77
DV_ESC,2018,3,234.12,232.69
DV_ESC,2018,4,235.71,236.59
DV_ESC,2019,1,237.86,239.25
DV_ESC,2019,2,244.77,242.94
DV_ESC,2019,3,247.58,246.01
DV_ESC,2019,4,249.03,250.07
DV_ESC,2020,1,254.03,255.40
DV_ESC,2020,2,260.08,258.12
DV_ESC,2020,3,269.03,267.25
DV_ESC,2020,4,276.39,277.79
DV_ESC,2021,1,285.51,286.90
DV_ESC,2021,2,303.28,300.98
DV_ESC,2021,3,318.20,316.00
DV_ESC,2021,4,328.86,330.80
DV_ESC,2022,1,344.00,345.57
DV_ESC,2022,2,360.70,357.88
DV_ESC,2022,3,365.59,362.92
DV_ESC,2022,4,363.11,365.48
DV_MA,1991,1,100.00,100.00
DV_MA,1991,2,99.70,99.36
DV_MA,1991,3,100.07,99.45
DV_MA,1991,4,100.69,100.33
DV_MA,1992,1,101.37,101.43
DV_MA,1992,2,101.19,100.82
DV_MA,1992,3,101.72,101.02
DV_MA,1992,4,102.42,102.07
DV_MA,1993,1,100.79,100.96
DV_MA,1993,2,102.30,101.87
DV_MA,1993,3,102.46,101.63
DV_MA,1993,4,102.38,102.10
DV_MA,1994,1,101.77,102.07
DV_MA,1994,2,102.55,102.04
DV_MA,1994,3,102.97,102.01
DV_MA,1994,4,101.52,101.32
DV_MA,1995,1,100.67,101.10
DV_MA,1995,2,102.08,101.47
DV_MA,1995,3,102.83,101.77
DV_MA,1995,4,101.61,101.47
DV_MA,1996,1,101.73,102.26
DV_MA,1996,2,102.92,102.23
DV_MA,1996,3,103.44,102.34
DV_MA,1996,4,102.43,102.33
DV_MA,1997,1,102.17,102.75
DV_MA,1997,2,103.99,103.26
DV_MA,1997,3,104.64,103.49
DV_MA,1997,4,104.49,104.39
DV_MA,1998,1,104.67,105.28
DV_MA,1998,2,107.46,106.71
DV_MA,1998,3,109.15,107.95
DV_MA,1998,4,109.59,109.46
DV_MA,1999,1,110.30,110.93
DV_MA,1999,2,113.66,112.91
DV_MA,1999,3,116.33,115.04
DV_MA,1999,4,117.09,116.90
