,GEOID,mean_household_size_owner,transportation_drive_alone,transportation_public,one_person_household,more_than_200k,mhhi,mhhi_family,mhhi_nonfamily,vacant_units,renter_occuppied,black_homeowners,owners_25_34,mean_household_size_renter,median_number_rooms,median_gross_rent,median_year_built,plumbing_complete,kitchen_complete,median_gross_rent_frac_income,lower_quartile_home_value,median_home_value,upper_quartile_home_value,electricity_cost
0,20161,2.48,28264,85,8595,1379,53296.0,76786.0,37950.0,3979,14505,353,1363,2.31,5.3,968.0,1984,26554,26523,31.5,146900.0,211500.0,286400.0,2167
1,19159,2.54,1606,7,585,79,57700.0,76250.0,30345.0,809,403,0,141,2.1,6.2,639.0,1962,1847,1840,29.5,63800.0,111300.0,217600.0,14
2,30009,2.37,3575,19,1547,269,63178.0,82083.0,34108.0,1865,1213,10,175,2.13,5.4,841.0,1981,4500,4494,24.4,187800.0,297500.0,477300.0,367
3,16007,2.96,1927,17,521,81,60337.0,75882.0,25673.0,1637,443,0,240,2.28,6.4,598.0,1971,2223,2230,26.4,97200.0,160200.0,270600.0,478
4,55011,2.49,5401,7,1650,136,61167.0,75954.0,35044.0,992,1201,31,379,2.0,6.2,730.0,1971,5505,5505,25.2,106800.0,164500.0,245300.0,138
5,31185,2.45,5465,0,1655,325,66337.0,79738.0,37977.0,679,1408,19,498,2.1,6.6,804.0,1961,5571,5520,21.8,96700.0,141600.0,217300.0,108
6,8037,2.74,22881,1232,4933,3069,91338.0,105004.0,55102.0,13100,5627,0,1046,3.13,4.9,1724.0,1992,19499,19416,36.1,395400.0,640400.0,968900.0,2797
7,42129,2.39,137279,1688,47915,9429,64708.0,84310.0,34239.0,15719,33664,1227,9261,1.91,6.2,757.0,1965,151811,151104,26.7,99800.0,162300.0,250700.0,14454
8,40079,2.67,15529,5,4696,394,43049.0,53656.0,25170.0,3500,4956,130,1136,2.69,5.4,702.0,1984,17547,17518,27.7,59400.0,96700.0,163500.0,509
9,48053,2.63,15599,56,4502,1306,65363.0,77676.0,39362.0,5186,3549,53,1052,2.76,5.7,1084.0,1995,17825,17721,29.9,137600.0,229600.0,400800.0,395
10,36017,2.48,16658,29,5893,678,55690.0,69131.0,31283.0,4564,4690,59,1174,2.01,5.9,714.0,1965,19681,19592,28.0,66400.0,107900.0,167100.0,1601
11,20109,2.52,1044,0,360,80,62202.0,76725.0,36250.0,222,402,0,72,2.11,6.1,756.0,1964,1148,1137,27.2,57400.0,109700.0,178200.0,44
12,47053,2.57,17826,7,5591,615,49615.0,62083.0,21684.0,2869,6396,1646,1241,2.46,5.7,701.0,1977,19319,19196,29.1,67000.0,113300.0,194700.0,456
13,27061,2.45,14614,199,5421,655,58393.0,75685.0,32018.0,7450,3222,14,1188,2.21,5.4,817.0,1978,17999,17976,31.9,108800.0,171100.0,268000.0,1371
14,25017,2.71,535295,86237,164475,146256,111790.0,140891.0,66283.0,29286,238999,8154,30496,2.19,5.7,1815.0,1961,622360,619123,27.9,402900.0,575500.0,794200.0,64611
15,36119,2.8,261955,96701,97661,91683,105387.0,134974.0,53245.0,22170,139882,20124,11269,2.48,5.3,1682.0,1957,363202,361844,31.7,353000.0,559900.0,807600.0,14185
16,46093,2.59,11857,0,2641,431,68242.0,79093.0,34011.0,1101,2810,87,890,2.52,6.0,1002.0,1989,11157,11137,26.2,149500.0,214600.0,300100.0,199
17,54107,2.47,29295,257,11569,1163,50231.0,68317.0,27860.0,5091,9261,78,2079,2.12,5.9,755.0,1970,35133,35055,29.9,80800.0,129600.0,198000.0,2927
18,19021,2.85,6949,29,2407,307,53645.0,80250.0,40960.0,667,2351,66,590,2.15,5.8,737.0,1962,7505,7468,23.6,82100.0,126300.0,189600.0,637
19,47021,2.6,15775,45,3160,539,69132.0,77074.0,39185.0,1224,3217,133,1351,2.76,5.9,1074.0,1990,15320,15267,22.9,151000.0,217500.0,308400.0,80
20,5019,2.56,7196,46,2387,262,45351.0,61896.0,24960.0,1975,3253,1015,397,2.12,5.3,641.0,1985,8044,8006,27.5,69300.0,120600.0,212700.0,271
21,51105,2.57,5709,0,2501,126,37574.0,51912.0,18841.0,2703,2461,4,412,2.51,5.4,601.0,1979,8222,8175,37.1,49100.0,86200.0,141100.0,99
22,27013,2.56,29475,615,6963,1102,65000.0,84460.0,38628.0,2320,9893,171,2360,2.22,5.9,954.0,1976,26533,26439,29.8,145800.0,203200.0,289000.0,3052
23,56033,2.51,11987,0,4469,843,62531.0,95913.0,36312.0,1814,4085,0,758,1.86,5.7,868.0,1978,12768,12798,28.9,191500.0,289800.0,439800.0,691
24,22087,2.82,15605,123,4241,567,52538.0,63149.0,29836.0,2057,4521,1598,1575,2.8,5.4,959.0,1978,15428,15392,37.5,115800.0,159100.0,219100.0,709
25,19015,2.51,11311,44,3140,531,70984.0,91222.0,33800.0,1191,2192,0,1003,2.19,6.4,779.0,1957,10664,10580,24.4,101800.0,151400.0,240200.0,397
26,39035,2.4,448214,21858,213507,36118,55109.0,76257.0,36104.0,65157,230291,58864,27734,2.03,5.7,875.0,1957,549391,545046,28.7,87900.0,146800.0,237200.0,108511
27,45027,2.68,9216,25,3625,318,45542.0,60578.0,20846.0,4442,2962,3133,392,2.41,5.5,624.0,1988,11551,11498,31.6,62500.0,115800.0,215300.0,179
28,41035,2.44,22036,90,8335,740,50790.0,61739.0,30109.0,4714,9571,28,1662,2.4,5.2,841.0,1974,27836,27686,31.9,122400.0,200000.0,302700.0,2635
29,45015,2.66,88457,494,19477,4990,70786.0,80452.0,44997.0,7519,22842,12457,7771,2.56,5.9,1263.0,1998,83899,83730,28.4,148400.0,216100.0,311900.0,1100
30,25005,2.66,222112,6184,63835,21344,74290.0,93691.0,39079.0,14496,86058,2792,12070,2.14,5.6,1006.0,1964,226740,225868,29.2,254400.0,339900.0,450700.0,23300
31,25015,2.44,55156,2273,18220,6436,76959.0,104101.0,42076.0,4881,19474,253,2873,1.9,5.5,1152.0,1968,60754,60430,31.6,228400.0,299600.0,400400.0,6174
32,49025,2.58,2412,0,999,152,56395.0,77125.0,38627.0,2977,709,0,280,2.06,5.0,1050.0,1991,2953,2953,27.7,157200.0,241000.0,357300.0,212
33,37127,2.53,34767,244,11549,1460,52837.0,64650.0,31331.0,5640,13313,6977,1791,2.38,5.5,838.0,1987,37373,37273,28.3,84200.0,141900.0,219600.0,266
34,44007,2.71,240474,8197,78765,17190,65797.0,83593.0,38432.0,25760,110608,7212,13665,2.3,5.1,1062.0,1957,248813,247785,28.6,203900.0,266700.0,360300.0,24167
35,42111,2.45,26529,26,7975,826,54332.0,69036.0,30283.0,8912,5645,0,1727,2.19,6.0,657.0,1960,28726,28543,27.8,72400.0,114700.0,181200.0,1330
36,45059,2.61,22432,1,6961,583,46754.0,57340.0,26778.0,5937,7039,3459,1510,2.49,5.5,790.0,1983,25138,25021,30.2,64800.0,117800.0,197800.0,357
37,48057,2.63,8079,34,1910,361,61887.0,74930.0,35880.0,2955,1935,95,661,2.46,5.2,872.0,1973,7644,7368,23.2,78800.0,121700.0,189000.0,229
38,49017,2.63,1542,0,472,42,45724.0,69219.0,24306.0,1734,427,0,104,2.6,5.2,702.0,1984,1814,1810,23.8,126100.0,196900.0,323800.0,175
39,48341,3.27,8245,1,1735,182,55543.0,64091.0,33544.0,1278,2429,0,559,2.78,5.1,828.0,1974,6893,6810,22.1,65000.0,115300.0,168200.0,297
40,27167,2.56,2468,30,954,102,57907.0,78663.0,36366.0,313,582,0,242,1.7,6.4,543.0,1966,2679,2665,28.3,85300.0,154400.0,233200.0,124
41,48185,2.71,8494,5,2330,416,59086.0,74807.0,32290.0,2407,2267,555,569,2.51,5.3,779.0,1991,9352,9331,31.4,88300.0,182500.0,314800.0,154
42,5073,2.47,1817,7,806,24,36083.0,51614.0,20929.0,1477,549,642,56,2.62,5.7,585.0,1976,2490,2483,35.7,19400.0,60800.0,90400.0,30
43,49047,3.24,10549,83,2838,487,61293.0,77324.0,28568.0,2416,2864,0,1356,2.78,5.7,726.0,1990,11219,11199,24.1,135400.0,207700.0,293100.0,1489
