,county_name,state,fips,attained_bachelors,attained_doctorate,attained_masters,attained_professional,black,black_homeowners,eight_rooms,electricity_cost,five_rooms,four_rooms,kitchen_complete,lower_quartile_home_value,mean_household_size_owner,mean_household_size_renter,median_age,median_gross_rent,median_gross_rent_frac_income,median_home_value,median_number_rooms,median_year_built,mhhi,mhhi_family,mhhi_nonfamily,more_than_200k,one_person_household,one_room,owners_25_34,plumbing_complete,renter_occupied,seven_rooms,six_rooms,three_rooms,total_pop,transportation_drive_alone,transportation_public,two_rooms,upper_quartile_home_value,vacant_units,white,unemployed_rate_q1_22,unemployed_rate_q2_22,unemployed_rate_q3_22,unemployed_rate_q4_22,unemployed_rate_year_22,emp_location_quotient_natural_resources_and_mining,emp_location_quotient_construction,emp_location_quotient_manufacturing,emp_location_quotient_trade_transportation_and_utilities,emp_location_quotient_information,emp_location_quotient_financial_activities,emp_location_quotient_professional_and_business_services,emp_location_quotient_education_and_health_services,emp_location_quotient_leisure_and_hospitality,emp_location_quotient_other_services,emp_location_quotient_unclassified,wage_location_quotient_natural_resources_and_mining,wage_location_quotient_construction,wage_location_quotient_manufacturing,wage_location_quotient_trade_transportation_and_utilities,wage_location_quotient_information,wage_location_quotient_financial_activities,wage_location_quotient_professional_and_business_services,wage_location_quotient_education_and_health_services,wage_location_quotient_leisure_and_hospitality,wage_location_quotient_other_services,wage_location_quotient_unclassified,house_price_jan_2022,house_price_feb_2022,house_price_mar_2022,house_price_apr_2022,house_price_may_2022,house_price_jun_2022,house_price_july_2022,house_price_aug_2022,house_price_sep_2022,house_price_oct_2022,house_price_nov_2022,house_price_dec_2022,house_price_jan_2023,house_price_feb_2023,house_price_mar_2023,house_price_avg_q1_2022,house_price_avg_q2_2022,house_price_avg_q3_2022,house_price_avg_q4_2022,house_price_avg_q1_2023,house_price_avg_2022
0,0.584715,0.0,0.0,0.563452,0.520952,0.674669,0.479731,0.838949,0.880471,0.645313,0.399799,0.453499,0.47237,0.97971,0.492106,0.4475,0.433766,0.48741,0.631224,0.598271,0.497621,0.642157,0.999211,0.58574,0.50829,0.443709,0.606501,0.521538,0.444046,0.643394,0.988839,0.596011,0.566194,0.565244,0.539432,0.579721,0.953982,0.538502,0.485438,0.378904,0.405338,0.938986,0.388889,0.385912,0.491755,0.452456,0.380555,0.580715,0.493649,0.738412,0.680345,0.275278,0.615192,0.588217,0.69624,0.704945,0.637321,,0.624213,0.529841,0.782224,0.73634,0.291929,0.616789,0.595384,0.703094,0.643188,0.606874,,0.479838,0.475761,0.471388,0.468872,0.468149,0.468158,0.469983,0.473201,0.476972,0.480843,0.48454,0.488768,0.488015,0.483563,0.475872,0.475536,0.468393,0.473392,0.484663,0.482458,0.83348
1,0.595595,0.0,0.000497,0.618081,0.538834,0.664848,0.522555,0.757978,0.904211,0.634637,0.397537,0.504429,0.582481,0.97971,0.604181,0.4225,0.42013,0.594424,0.634599,0.672622,0.57726,0.618347,0.999474,0.597924,0.577202,0.497635,0.660072,0.561054,0.510922,0.569638,0.993304,0.560881,0.524586,0.540589,0.544142,0.690832,0.932743,0.411489,0.508004,0.489688,0.704458,0.962768,0.405247,0.390967,0.495269,0.460909,0.390244,0.523599,0.565102,0.588536,0.718505,0.445338,0.69545,0.631121,0.736584,0.764189,0.647625,,0.518595,0.617837,0.609331,0.769322,0.424992,0.710187,0.624758,0.77557,0.743624,0.669173,,0.578408,0.575933,0.57331,0.571552,0.570935,0.571213,0.572899,0.576126,0.579744,0.58344,0.586404,0.589125,0.587468,0.582609,0.575614,0.575751,0.571305,0.576191,0.586418,0.581969,0.865874
2,0.610986,0.0,0.000994,0.347837,0.451901,0.516573,0.434861,0.925669,0.872832,0.557858,0.465385,0.541187,0.623823,0.982609,0.329553,0.37,0.437013,0.526079,0.38481,0.609222,0.344603,0.555322,0.998422,0.341155,0.303109,0.247398,0.561408,0.605198,0.366977,0.588972,0.995536,0.71033,0.502364,0.505412,0.67467,0.511552,0.940177,0.371836,0.569698,0.267531,0.635663,0.84269,0.562654,0.545669,0.633414,0.643951,0.571667,0.676664,0.362385,0.845299,0.629639,0.257314,0.565568,0.57718,0.678809,0.629771,0.533154,,0.691155,0.441336,0.847926,0.7121,0.241374,0.564955,0.512912,0.700977,0.587023,0.558718,,0.368893,0.361862,0.353487,0.347817,0.34485,0.345095,0.347985,0.353192,0.357143,0.360366,0.363194,0.367835,0.369849,0.367975,0.361913,0.361373,0.346063,0.352853,0.363867,0.366575,0.795518
3,0.663925,0.0,0.001491,0.387962,0.411397,0.52012,0.380368,0.849455,0.893889,0.582509,0.22641,0.56643,0.571429,0.953623,0.399155,0.5375,0.51039,0.514388,0.472152,0.676657,0.379664,0.605742,0.998685,0.521209,0.47513,0.287606,0.561922,0.535422,0.469363,0.452381,0.984375,0.538553,0.539953,0.57276,0.477739,0.501755,0.956106,1.0,0.530458,0.280495,0.626857,0.94152,0.412963,0.401079,0.526088,0.480983,0.410959,0.559446,0.698483,0.739289,0.710141,0.66929,0.507524,0.449246,0.704465,0.48855,0.671147,,0.537819,0.775687,0.742655,0.739519,0.690819,0.461777,0.45723,0.721661,0.453813,0.62782,,0.422872,0.418919,0.413949,0.409857,0.407471,0.408133,0.411235,0.415759,0.41919,0.422307,0.425244,0.428931,0.429983,0.427359,0.421155,0.418455,0.408414,0.415473,0.425428,0.426111,0.814941
4,0.676662,0.0,0.001988,0.425912,0.416137,0.575638,0.403705,0.566997,0.976053,0.633851,0.36776,0.562888,0.518625,0.973913,0.460307,0.489167,0.400649,0.545863,0.440928,0.642075,0.453293,0.618347,0.998948,0.509025,0.482383,0.313623,0.576953,0.514062,0.448191,0.603831,0.986607,0.532897,0.52435,0.54089,0.486856,0.580619,0.953982,0.408656,0.481881,0.35327,0.492845,0.97037,0.380247,0.380856,0.4804,0.447966,0.371868,0.493129,0.574806,0.755227,0.668061,0.474423,0.576675,0.556972,0.707207,0.650846,0.71931,,0.466529,0.614446,0.765097,0.739519,0.470297,0.605216,0.569077,0.725407,0.60037,0.707483,,0.458502,0.455169,0.45217,0.450497,0.449795,0.449656,0.451115,0.454196,0.457783,0.46126,0.46421,0.467562,0.468251,0.46596,0.460362,0.45515,0.450054,0.454371,0.464354,0.46481,0.827301
5,0.718588,0.0,0.002484,0.393764,0.453302,0.492839,0.361241,0.963231,0.911024,0.618778,0.317879,0.465899,0.508391,1.0,0.296865,0.495,0.576623,0.491906,0.281013,0.791354,0.292261,0.593838,0.998816,0.23917,0.279275,0.127247,0.45722,0.653257,0.526493,0.305943,1.0,0.688002,0.479433,0.562838,0.66692,0.438975,0.943363,1.0,0.539795,0.189452,0.662631,0.689864,0.459259,0.455005,0.544742,0.499736,0.448714,0.550245,0.528582,0.837403,0.503921,0.66929,0.46632,0.57718,0.783,0.479588,0.671147,,0.526948,0.545778,0.819282,0.591894,0.690819,0.441402,0.531956,0.787622,0.477204,0.62782,,0.315767,0.31553,0.312244,0.30869,0.30447,0.303787,0.304245,0.307282,0.308316,0.309281,0.310038,0.313038,0.310555,0.300954,0.284791,0.314378,0.305717,0.306689,0.310768,0.298745,0.780713
6,0.724426,0.0,0.002981,0.393038,0.318755,0.584368,0.444364,0.920416,0.885012,0.590988,0.387863,0.732064,0.492427,0.947826,0.370024,0.4975,0.554545,0.547662,0.425316,0.670317,0.355622,0.581232,0.998422,0.439079,0.433679,0.346263,0.53353,0.58099,0.38602,0.448443,0.993304,0.61685,0.495745,0.551413,0.420301,0.489101,0.95469,0.405027,0.348377,0.251915,0.751238,0.868421,0.527469,0.508932,0.596377,0.552034,0.513197,0.661608,0.432428,0.792514,0.703607,0.49444,0.549624,0.639049,0.741089,0.670926,0.502016,,0.669299,0.467447,0.825484,0.76515,0.39589,0.524694,0.569077,0.765472,0.623497,0.536341,,0.297205,0.290648,0.281365,0.274103,0.26992,0.269578,0.270798,0.272902,0.273987,0.275862,0.278907,0.284065,0.288478,0.287593,0.281991,0.2897,0.271197,0.272494,0.27967,0.285988,0.770866
7,0.731458,0.0,0.003478,0.475224,0.528601,0.608103,0.468904,0.845491,0.85095,0.622704,0.469029,0.4938,0.545231,0.968116,0.43807,0.403333,0.465584,0.514388,0.476793,0.643804,0.424743,0.618347,0.99829,0.49278,0.43886,0.389782,0.546377,0.588466,0.500504,0.578947,0.991071,0.631736,0.556738,0.547204,0.553563,0.636297,0.947965,0.549566,0.490107,0.309664,0.556687,0.934113,0.487963,0.482979,0.562044,0.513999,0.473438,0.454774,0.383733,0.755958,0.675379,0.484688,0.576675,0.631121,0.666079,0.667939,0.581541,,0.472251,0.428281,0.7837,0.724618,0.424992,0.601304,0.586992,0.687134,0.61755,0.573935,,0.373373,0.366581,0.359534,0.35495,0.352408,0.352625,0.355489,0.360666,0.365245,0.369306,0.372723,0.377493,0.37931,0.377519,0.371392,0.366309,0.353398,0.360547,0.373175,0.37593,0.797895
8,0.754942,0.0,0.003975,0.433406,0.32231,0.539081,0.353422,0.909415,0.894302,0.603705,0.461113,0.492914,0.512075,0.985507,0.42028,0.415833,0.486364,0.565647,0.497468,0.530836,0.389432,0.605742,0.998159,0.458484,0.363731,0.348628,0.526465,0.523318,0.708525,0.568922,0.988839,0.648705,0.58487,0.526759,0.520438,0.537758,0.956106,0.493981,0.456759,0.279316,0.610072,0.882846,0.428086,0.419953,0.522844,0.488642,0.420648,0.627554,0.441426,0.828045,0.629639,0.520787,0.512719,0.622882,0.678809,0.654165,0.492159,,0.628104,0.501526,0.864462,0.684482,0.463696,0.50383,0.537766,0.687134,0.601824,0.533298,,0.317687,0.310811,0.302526,0.296801,0.293241,0.292814,0.293954,0.297032,0.29936,0.301405,0.304532,0.309889,0.31434,0.315376,0.311935,0.3103,0.294283,0.296858,0.305268,0.313842,0.778268
9,0.764495,0.0,0.004472,0.328982,0.463751,0.569772,0.505353,0.695243,0.922378,0.633223,0.338233,0.522586,0.577159,0.994203,0.42406,0.406667,0.437013,0.660971,0.435443,0.628818,0.458552,0.618347,0.998948,0.421029,0.414508,0.345317,0.573741,0.568886,0.456368,0.500895,1.0,0.542423,0.512293,0.578172,0.517551,0.510654,0.947257,0.557621,0.495109,0.361226,0.755916,0.981481,0.397222,0.385912,0.491755,0.469097,0.387905,0.680368,0.338215,0.780377,0.716414,0.474423,0.553744,0.565366,0.64904,0.657318,0.520385,,0.656826,0.402679,0.790787,0.780052,0.415842,0.569845,0.505972,0.709609,0.601824,0.510741,,0.453168,0.447018,0.440941,0.438176,0.438566,0.44062,0.442967,0.446722,0.449893,0.452746,0.45468,0.456855,0.457107,0.454507,0.449591,0.446996,0.439051,0.446463,0.454622,0.453753,0.82438
