,county_name,state,fips,attained_bachelors,attained_doctorate,attained_masters,attained_professional,black,black_homeowners,eight_rooms,electricity_cost,five_rooms,four_rooms,kitchen_complete,lower_quartile_home_value,mean_household_size_owner,mean_household_size_renter,median_age,median_gross_rent,median_gross_rent_frac_income,median_home_value,median_number_rooms,median_year_built,mhhi,mhhi_family,mhhi_nonfamily,more_than_200k,one_person_household,one_room,owners_25_34,plumbing_complete,renter_occupied,seven_rooms,six_rooms,three_rooms,total_pop,transportation_drive_alone,transportation_public,two_rooms,upper_quartile_home_value,vacant_units,white,unemployed_rate_q1_22,unemployed_rate_q2_22,unemployed_rate_q3_22,unemployed_rate_q4_22,unemployed_rate_year_22,emp_location_quotient_natural_resources_and_mining,emp_location_quotient_construction,emp_location_quotient_manufacturing,emp_location_quotient_trade_transportation_and_utilities,emp_location_quotient_information,emp_location_quotient_financial_activities,emp_location_quotient_professional_and_business_services,emp_location_quotient_education_and_health_services,emp_location_quotient_leisure_and_hospitality,emp_location_quotient_other_services,emp_location_quotient_unclassified,wage_location_quotient_natural_resources_and_mining,wage_location_quotient_construction,wage_location_quotient_manufacturing,wage_location_quotient_trade_transportation_and_utilities,wage_location_quotient_information,wage_location_quotient_financial_activities,wage_location_quotient_professional_and_business_services,wage_location_quotient_education_and_health_services,wage_location_quotient_leisure_and_hospitality,wage_location_quotient_other_services,wage_location_quotient_unclassified,house_price_jan_2022,house_price_feb_2022,house_price_mar_2022,house_price_apr_2022,house_price_may_2022,house_price_jun_2022,house_price_july_2022,house_price_aug_2022,house_price_sep_2022,house_price_oct_2022,house_price_nov_2022,house_price_dec_2022,house_price_jan_2023,house_price_feb_2023,house_price_mar_2023,house_price_avg_q1_2022,house_price_avg_q2_2022,house_price_avg_q3_2022,house_price_avg_q4_2022,house_price_avg_q1_2023,house_price_avg_2022
0,-2.239541,-3.447868,-4.059375,0.443912,0.273517,1.070466,0.200761,1.051604,0.244057,0.499454,-1.477188,-0.339123,-0.844581,0.205969,0.015559,0.558285,0.020532,-0.501339,1.145691,-0.327643,0.210205,0.607011,0.065121,0.417058,0.104232,-0.055164,0.268152,-0.479072,-0.674928,1.173198,0.086925,-0.065731,0.890371,1.096625,-0.42646,0.46605,0.757374,-0.306408,-0.556121,0.046366,-0.80703,0.076923,-1.214073,-1.189527,-0.969525,-1.365848,-1.250369,-0.121724,-0.140394,0.428212,0.363206,-1.94423,0.143704,0.118485,-0.096608,0.914416,0.132686,,0.2094,-0.096178,0.612043,0.371731,-1.266338,0.05712,0.222912,-0.067606,0.643582,0.071675,,0.223206,0.229253,0.218669,0.215379,0.218178,0.217313,0.218412,0.221416,0.227884,0.234986,0.241756,0.250854,0.254455,0.257717,0.257949,0.213511,0.216864,0.222536,0.24194,0.253732,0.189078
1,-2.154402,-3.447868,-4.056841,1.01649,0.393908,0.928985,0.554382,0.609754,0.421218,0.319002,-1.496534,0.138165,0.154551,0.205969,0.916587,0.246463,-0.118363,0.404284,1.175574,0.434407,0.873367,0.234215,0.075566,0.524033,0.675311,0.338344,0.824906,0.114404,-0.123995,0.189634,0.208891,-0.453595,0.229197,0.705213,-0.36162,1.367617,0.312709,-0.854562,-0.346064,0.948614,1.031693,0.376667,-1.064854,-1.144114,-0.929333,-1.266747,-1.159512,-0.472186,0.606769,-0.752794,0.838988,-0.646913,1.092169,0.530241,0.273461,1.630604,0.240108,,-0.42012,0.745093,-0.626404,0.775904,-0.4171,1.005452,0.462694,0.582905,1.768381,0.780523,,1.038693,1.043558,1.037521,1.032753,1.03129,1.03344,1.037244,1.045692,1.053262,1.060884,1.065337,1.068822,1.072117,1.072403,1.073231,1.035836,1.032989,1.044826,1.065603,1.07076,0.688684
2,-2.033961,-3.447868,-4.054306,-1.815997,-0.191366,-1.206982,-0.169746,1.524822,0.187057,-0.978662,-0.916153,0.482643,0.529689,0.285979,-1.29129,-0.408362,0.053603,-0.174097,-1.035758,-0.215403,-1.063985,-0.752596,0.033783,-1.730378,-1.596121,-1.487671,-0.200483,0.777386,-1.309839,0.447461,0.269874,1.196469,-0.123929,0.146735,1.435068,-0.087079,0.468342,-1.025693,0.228232,-0.86068,0.608804,-1.136795,0.371026,0.245507,0.650532,0.879414,0.541697,0.467024,-1.51296,1.270472,-0.268997,-2.081271,-0.442736,0.012562,-0.256492,0.005641,-0.953208,,0.608392,-0.942311,1.082674,0.074688,-1.588992,-0.469179,-0.450319,-0.08661,0.014582,-0.476257,,-0.694657,-0.696649,-0.728562,-0.748263,-0.757215,-0.757269,-0.752244,-0.739669,-0.734486,-0.734845,-0.739351,-0.734815,-0.717058,-0.69304,-0.673551,-0.723271,-0.753247,-0.741647,-0.735838,-0.697721,-0.396413
3,-1.619686,-3.447868,-4.051772,-1.395431,-0.464059,-1.155891,-0.619719,1.108931,0.344192,-0.56203,-2.960384,0.719212,0.054266,-0.514121,-0.731723,1.680841,0.800991,-0.273031,-0.262539,0.475758,-0.772027,0.036853,0.044229,-0.149517,-0.170572,-1.194266,-0.195142,-0.270553,-0.466367,-1.374042,-0.035041,-0.700118,0.473381,1.215958,-1.275651,-0.166571,0.801841,1.685283,-0.137041,-0.755098,0.554674,0.108863,-0.994468,-1.05329,-0.576878,-1.031382,-0.965267,-0.252231,2.001473,0.435126,0.734707,1.061525,-1.12868,-1.215247,-0.021157,-1.701573,0.48531,,-0.305538,2.254193,0.328607,0.410687,1.279463,-1.516813,-0.90485,0.099042,-1.477257,0.309994,,-0.248081,-0.232826,-0.242802,-0.254396,-0.261831,-0.258052,-0.249004,-0.238605,-0.236177,-0.236222,-0.237668,-0.236847,-0.222658,-0.204578,-0.189312,-0.25488,-0.258781,-0.240751,-0.237531,-0.208901,-0.096859
4,-1.520011,-3.447868,-4.049237,-0.997667,-0.432148,-0.356132,-0.427015,-0.432407,0.957325,0.305733,-1.751256,0.686009,-0.424871,0.045949,-0.24009,1.077987,-0.316784,-0.006671,-0.538955,0.121316,-0.158914,0.234215,0.054675,-0.256492,-0.110459,-1.004416,-0.038931,-0.591351,-0.640783,0.645606,0.025942,-0.762571,0.225441,0.709986,-1.150155,0.473336,0.757374,-0.866786,-0.589234,-0.162398,-0.269115,0.472487,-1.292906,-1.234939,-1.099377,-1.418496,-1.331826,-0.659148,0.708236,0.560716,0.210043,-0.425038,-0.311475,-0.181381,0.003993,0.260419,0.98739,,-0.730448,0.712674,0.489362,0.410687,-0.127956,-0.060387,0.008163,0.132664,0.164062,1.216424,,0.046694,0.061858,0.064267,0.069112,0.07298,0.070785,0.068293,0.069216,0.073768,0.077345,0.077382,0.07802,0.09196,0.112923,0.131166,0.046228,0.071433,0.070386,0.07755,0.108832,0.093766
5,-1.191913,-3.447868,-4.046703,-1.334626,-0.181938,-1.548893,-0.777656,1.729793,0.472056,0.050977,-2.177944,-0.222914,-0.517727,0.76604,-1.55409,1.150745,1.475625,-0.463288,-1.954656,1.651323,-1.499837,-0.149544,0.049452,-2.625803,-1.793636,-2.364434,-1.283283,1.49918,0.004279,-3.326846,0.39184,0.949945,-0.488326,1.058438,1.328396,-0.675979,0.535042,1.685283,-0.05012,-1.496572,0.774576,-3.06302,-0.57215,-0.56889,-0.36355,-0.811501,-0.61124,-0.308686,0.224886,1.208253,-1.83647,1.061525,-1.615615,0.012562,0.69922,-1.809903,0.48531,,-0.370332,0.056191,0.8775,-1.398355,1.279463,-1.723691,-0.294857,0.69108,-1.215297,0.309994,,-1.134173,-1.073287,-1.059919,-1.059725,-1.076651,-1.084402,-1.100248,-1.107343,-1.126626,-1.146081,-1.169121,-1.181446,-1.204544,-1.244305,-1.303943,-1.108901,-1.073195,-1.110909,-1.16565,-1.254627,-0.624744
6,-1.146229,-3.447868,-4.044168,-1.342227,-1.087772,-0.230371,-0.091274,1.496159,0.277949,-0.41873,-1.579292,2.271435,-0.662583,-0.674141,-0.965919,1.181927,1.250747,0.00855,-0.677164,0.410777,-0.972227,-0.346907,0.033783,-0.870611,-0.514078,-0.76624,-0.490209,0.413815,-1.152957,-1.426562,0.208891,0.164357,-0.229116,0.877052,-2.066278,-0.269247,0.772197,-0.882447,-1.831987,-0.987859,1.319258,-0.812482,0.050064,-0.08449,0.226967,-0.198312,-0.006575,0.374642,-0.780556,0.854527,0.653238,-0.272336,-0.631159,0.606327,0.314779,0.503161,-1.277808,,0.478123,-0.692685,0.921919,0.724774,-0.602841,-0.877971,0.008163,0.492272,0.423062,-0.730872,,-1.287738,-1.275556,-1.308004,-1.335051,-1.349966,-1.355308,-1.366368,-1.382672,-1.402323,-1.415097,-1.420818,-1.417596,-1.386054,-1.354209,-1.326834,-1.3114,-1.346948,-1.384436,-1.417372,-1.359374,-0.776616
7,-1.0912,-3.447868,-4.041634,-0.480827,0.32501,0.11154,0.111363,1.087298,0.02376,0.11732,-0.884984,0.038557,-0.183446,-0.114071,-0.418866,0.0074,0.344621,-0.273031,-0.22145,0.139038,-0.396652,0.234215,0.02856,-0.399126,-0.47114,-0.448672,-0.356694,0.526094,-0.209819,0.313773,0.147908,0.328706,0.740104,0.810226,-0.23194,0.925113,0.631386,-0.258659,-0.512661,-0.517538,0.123327,0.0155,-0.310313,-0.317608,-0.16568,-0.644267,-0.3794,-0.894501,-1.289733,0.566477,0.301289,-0.346729,-0.311475,0.530241,-0.373261,0.46705,-0.448792,,-0.696346,-1.067124,0.622619,0.228079,-0.4171,-0.100108,0.154404,-0.210865,0.356462,-0.303119,,-0.65759,-0.658288,-0.679986,-0.691477,-0.697427,-0.697636,-0.692538,-0.679815,-0.669415,-0.662879,-0.662301,-0.656098,-0.639268,-0.614537,-0.596073,-0.682771,-0.695074,-0.680103,-0.660493,-0.620907,-0.359754
8,-0.907423,-3.447868,-4.039099,-0.919127,-1.063839,-0.882755,-0.842222,1.436128,0.347273,-0.203779,-0.952695,0.030257,-0.484299,0.365989,-0.561886,0.163311,0.556271,0.160755,-0.038418,-1.018804,-0.690696,0.036853,0.023338,-0.700243,-1.093744,-0.748981,-0.563641,-0.452339,1.503887,0.180085,0.086925,0.516064,1.187148,0.48564,-0.68791,0.125561,0.801841,-0.498548,-0.823091,-0.764696,0.451489,-0.63067,-0.856511,-0.88375,-0.613978,-0.941571,-0.874411,0.165685,-0.686469,1.134512,-0.268997,-0.071343,-1.067283,0.451172,-0.256492,0.300542,-1.38056,,0.232589,-0.366875,1.201125,-0.263747,-0.170083,-1.089815,-0.247428,-0.210865,0.180342,-0.7655,,-1.118287,-1.111648,-1.137988,-1.154369,-1.165479,-1.171296,-1.182131,-1.189429,-1.198547,-1.209479,-1.213638,-1.207114,-1.173428,-1.125678,-1.082073,-1.142357,-1.163876,-1.189548,-1.210172,-1.130676,-0.66245
9,-0.832667,-3.447868,-4.036565,-2.013612,-0.111589,-0.440628,0.412338,0.267415,0.556785,0.295118,-2.00383,0.308329,0.106265,0.606019,-0.531494,0.048976,0.053603,0.967445,-0.587515,-0.014553,-0.11512,0.234215,0.054675,-1.029094,-0.672949,-0.773144,-0.072309,0.23203,-0.573416,-0.727086,0.39184,-0.657387,0.033851,1.301877,-0.727651,-0.094366,0.616564,-0.223898,-0.466096,-0.097609,1.348014,0.612531,-1.138056,-1.189527,-0.969525,-1.170743,-1.181443,0.489752,-1.765704,0.758894,0.812918,-0.425038,-0.582465,-0.10082,-0.529553,0.338658,-1.086317,,0.403781,-1.311886,0.673384,0.907383,-0.475503,-0.419528,-0.506971,-0.009133,0.180342,-1.022152,,0.002566,-0.004402,-0.025945,-0.028973,-0.015848,-0.000775,0.003469,0.009362,0.010409,0.008806,0.000331,-0.009253,0.000341,0.01872,0.043123,-0.020685,-0.015826,0.007133,-0.00122,0.018051,0.048728
