,county_name,state,fips,attained_bachelors,attained_doctorate,attained_masters,attained_professional,black,black_homeowners,eight_rooms,electricity_cost,five_rooms,four_rooms,kitchen_complete,lower_quartile_home_value,mean_household_size_owner,mean_household_size_renter,median_age,median_gross_rent,median_gross_rent_frac_income,median_home_value,median_number_rooms,median_year_built,mhhi,mhhi_family,mhhi_nonfamily,more_than_200k,one_person_household,one_room,owners_25_34,plumbing_complete,renter_occupied,seven_rooms,six_rooms,three_rooms,total_pop,transportation_drive_alone,transportation_public,two_rooms,upper_quartile_home_value,vacant_units,white,unemployed_rate_q1_22,unemployed_rate_q2_22,unemployed_rate_q3_22,unemployed_rate_q4_22,unemployed_rate_year_22,emp_location_quotient_natural_resources_and_mining,emp_location_quotient_construction,emp_location_quotient_manufacturing,emp_location_quotient_trade_transportation_and_utilities,emp_location_quotient_information,emp_location_quotient_financial_activities,emp_location_quotient_professional_and_business_services,emp_location_quotient_education_and_health_services,emp_location_quotient_leisure_and_hospitality,emp_location_quotient_other_services,emp_location_quotient_unclassified,wage_location_quotient_natural_resources_and_mining,wage_location_quotient_construction,wage_location_quotient_manufacturing,wage_location_quotient_trade_transportation_and_utilities,wage_location_quotient_information,wage_location_quotient_financial_activities,wage_location_quotient_professional_and_business_services,wage_location_quotient_education_and_health_services,wage_location_quotient_leisure_and_hospitality,wage_location_quotient_other_services,wage_location_quotient_unclassified,house_price_jan_2022,house_price_feb_2022,house_price_mar_2022,house_price_apr_2022,house_price_may_2022,house_price_jun_2022,house_price_july_2022,house_price_aug_2022,house_price_sep_2022,house_price_oct_2022,house_price_nov_2022,house_price_dec_2022,house_price_jan_2023,house_price_feb_2023,house_price_mar_2023,house_price_avg_q1_2022,house_price_avg_q2_2022,house_price_avg_q3_2022,house_price_avg_q4_2022,house_price_avg_q1_2023,house_price_avg_2022
0,4.407,-inf,6.909,-1.806,-4.447,-2.385,-4.325,-1.625,-0.579,-2.259,-4.777,-1.65,-2.161,-0.007,11.423,1.001,0.875,3.651,6.989,3.235,12.013,1.792,7.597,11.045,11.191,10.353,-3.063,-1.344,-4.963,-1.992,-0.005,-1.357,-1.835,-1.446,-3.031,10.972,-0.146,-5.214,-4.629,12.401,-2.346,-0.313,0.903,0.788,0.903,0.71,0.829,0.255,-0.198,0.445,0.077,-2.303,-0.478,-0.821,-0.357,0.336,-0.151,,0.85,-0.094,0.693,0.199,-2.659,-0.821,-0.916,-0.288,0.262,-0.117,,12.223,12.234,12.245,12.258,12.272,12.283,12.29,12.293,12.293,12.294,12.295,12.297,12.302,12.308,12.317,12.234,12.271,12.292,12.295,12.309,12.273
1,4.489,-inf,6.911,-1.58,-4.281,-2.457,-3.969,-2.442,-0.464,-2.327,-4.795,-1.535,-1.892,-0.007,11.927,0.971,0.854,3.77,6.997,3.364,12.331,1.758,7.599,11.072,11.324,10.467,-2.646,-1.233,-4.366,-2.404,-0.003,-1.475,-2.011,-1.528,-3.0,12.333,-0.206,-6.649,-4.426,12.777,-1.259,-0.191,0.956,0.803,0.916,0.742,0.858,-0.223,0.207,-0.58,0.223,-1.309,-0.03,-0.545,-0.151,0.693,-0.105,,-0.073,0.425,-0.478,0.365,-1.772,-0.248,-0.734,0.157,1.022,0.231,,12.685,12.701,12.717,12.733,12.748,12.762,12.77,12.775,12.775,12.776,12.776,12.775,12.775,12.775,12.78,12.701,12.748,12.773,12.776,12.777,12.75
2,4.605,-inf,6.913,-2.698,-5.088,-3.544,-4.698,-0.75,-0.616,-2.816,-4.255,-1.452,-1.791,-0.006,10.692,0.908,0.88,3.694,6.405,3.254,11.402,1.668,7.591,10.503,10.795,9.938,-3.414,-1.109,-5.651,-2.296,-0.002,-0.973,-2.105,-1.645,-2.141,10.137,-0.185,-7.097,-3.871,12.023,-1.509,-0.807,1.466,1.262,1.427,1.435,1.401,1.058,-0.942,1.176,-0.117,-2.408,-0.755,-0.892,-0.446,-0.117,-0.616,,1.435,-0.616,1.138,0.077,-2.996,-1.139,-1.427,-0.301,-0.163,-0.386,,11.703,11.703,11.699,11.698,11.701,11.711,11.721,11.731,11.731,11.728,11.722,11.721,11.74,11.763,11.788,11.702,11.704,11.728,11.724,11.764,11.714
3,5.004,-inf,6.915,-2.532,-5.464,-3.518,-5.151,-1.519,-0.514,-2.659,-6.157,-1.395,-1.919,-0.016,11.005,1.109,0.993,3.681,6.612,3.371,11.542,1.74,7.593,10.902,11.127,10.023,-3.41,-1.305,-4.737,-3.059,-0.007,-1.55,-1.946,-1.421,-3.437,10.017,-0.14,-inf,-4.224,12.067,-1.541,-0.3,0.981,0.833,1.03,0.818,0.92,0.077,0.963,0.451,0.191,-inf,-1.079,-1.715,-0.315,-0.968,-inf,,0.095,1.356,0.425,0.215,-inf,-1.772,-1.772,-0.174,-1.171,-inf,,11.956,11.969,11.979,11.985,11.991,12.004,12.016,12.024,12.022,12.019,12.015,12.012,12.026,12.043,12.063,11.968,11.993,12.021,12.015,12.044,12.0
4,5.1,-inf,6.917,-2.375,-5.42,-3.111,-4.957,-4.369,-0.116,-2.332,-5.032,-1.403,-2.048,-0.009,11.28,1.051,0.824,3.716,6.538,3.311,11.836,1.758,7.595,10.875,11.141,10.078,-3.293,-1.365,-4.926,-2.213,-0.006,-1.569,-2.012,-1.527,-3.377,10.983,-0.146,-6.681,-4.661,12.314,-2.028,-0.152,0.875,0.773,0.861,0.693,0.803,-0.478,0.262,0.56,0.03,-1.139,-0.693,-1.022,-0.301,0.01,0.215,,-0.528,0.405,0.577,0.215,-1.47,-0.892,-1.079,-0.151,-0.062,0.445,,12.123,12.138,12.156,12.173,12.187,12.197,12.202,12.204,12.203,12.202,12.199,12.196,12.208,12.225,12.245,12.139,12.186,12.203,12.199,12.226,12.182
5,5.416,-inf,6.919,-2.508,-5.075,-3.718,-5.31,-0.371,-0.431,-2.428,-5.429,-1.622,-2.073,0.0,10.545,1.058,1.095,3.656,6.159,3.57,11.193,1.723,7.594,10.277,10.749,9.684,-4.225,-0.974,-4.227,-3.877,0.0,-1.048,-2.202,-1.454,-2.192,9.248,-0.176,-inf,-4.14,11.758,-1.411,-1.591,1.131,0.993,1.099,0.889,1.033,-inf,-inf,1.122,-0.598,-inf,-1.309,-0.892,0.086,-1.022,-inf,,-inf,-inf,0.944,-0.528,-inf,-1.897,-1.309,0.231,-0.994,-inf,,11.454,11.487,11.508,11.517,11.514,11.519,11.517,11.516,11.502,11.488,11.471,11.46,11.458,11.447,11.43,11.483,11.517,11.512,11.473,11.445,11.496
6,5.46,-inf,6.921,-2.511,-6.324,-3.047,-4.619,-0.803,-0.557,-2.605,-4.872,-1.021,-2.112,-0.018,10.874,1.061,1.061,3.718,6.501,3.36,11.446,1.705,7.591,10.72,11.047,10.147,-3.631,-1.177,-5.481,-3.081,-0.003,-1.287,-2.133,-1.492,-3.815,9.862,-0.144,-6.722,-5.862,11.97,-1.089,-0.675,1.352,1.153,1.29,1.087,1.226,0.932,-0.545,0.815,0.166,-1.022,-0.844,-0.494,-0.128,0.131,-0.755,,1.244,-0.462,0.986,0.344,-1.966,-1.386,-1.079,0.095,0.113,-0.511,,11.367,11.371,11.365,11.357,11.354,11.36,11.361,11.355,11.341,11.331,11.324,11.322,11.353,11.384,11.417,11.368,11.357,11.352,11.326,11.385,11.351
7,5.513,-inf,6.923,-2.171,-4.376,-2.873,-4.415,-1.559,-0.722,-2.403,-4.226,-1.559,-1.983,-0.011,11.18,0.948,0.924,3.681,6.623,3.314,11.722,1.758,7.59,10.839,11.057,10.239,-3.531,-1.156,-4.459,-2.352,-0.004,-1.237,-1.875,-1.506,-2.938,11.665,-0.163,-5.089,-4.587,12.166,-1.796,-0.338,1.224,1.076,1.163,0.943,1.107,-0.799,-0.821,0.565,0.058,-1.079,-0.693,-0.545,-0.511,0.113,-0.4,,-0.478,-0.693,0.703,0.14,-1.772,-0.916,-0.968,-0.386,0.068,-0.301,,11.724,11.725,11.727,11.731,11.736,11.746,11.756,11.766,11.769,11.77,11.767,11.767,11.785,11.808,11.832,11.725,11.738,11.764,11.768,11.808,11.749
8,5.69,-inf,6.925,-2.344,-6.291,-3.379,-5.375,-0.914,-0.512,-2.524,-4.289,-1.561,-2.064,-0.005,11.1,0.963,0.956,3.738,6.672,3.118,11.581,1.74,7.589,10.763,10.912,10.152,-3.686,-1.339,-2.602,-2.408,-0.005,-1.18,-1.756,-1.574,-3.156,10.458,-0.14,-5.717,-4.887,12.063,-1.602,-0.601,1.03,0.889,1.018,0.847,0.949,0.647,-0.494,1.058,-0.117,-0.868,-1.05,-0.598,-0.446,0.03,-0.799,,0.884,-0.261,1.25,-0.062,-1.514,-1.514,-1.273,-0.386,-0.051,-0.528,,11.463,11.465,11.463,11.462,11.462,11.468,11.469,11.468,11.46,11.451,11.445,11.445,11.476,11.515,11.556,11.464,11.464,11.466,11.447,11.516,11.46
9,5.762,-inf,6.927,-2.776,-4.978,-3.154,-4.112,-3.075,-0.376,-2.336,-5.267,-1.494,-1.905,-0.002,11.117,0.952,0.88,3.844,6.525,3.288,11.857,1.758,7.595,10.68,11.01,10.145,-3.318,-1.211,-4.853,-2.788,0.0,-1.537,-2.063,-1.403,-3.175,10.126,-0.165,-4.998,-4.542,12.341,-1.072,-0.095,0.93,0.788,0.903,0.773,0.851,1.089,-1.079,0.732,0.215,-1.139,-0.821,-0.968,-0.598,0.049,-0.673,,1.135,-0.844,0.751,0.419,-1.833,-1.109,-1.47,-0.248,-0.051,-0.654,,12.098,12.1,12.104,12.116,12.135,12.155,12.164,12.169,12.166,12.162,12.154,12.145,12.155,12.171,12.195,12.101,12.135,12.166,12.153,12.174,12.139
