,county_name,state,fips,attained_bachelors,attained_doctorate,attained_masters,attained_professional,black,black_homeowners,eight_rooms,electricity_cost,five_rooms,four_rooms,kitchen_complete,lower_quartile_home_value,mean_household_size_owner,mean_household_size_renter,median_age,median_gross_rent,median_gross_rent_frac_income,median_home_value,median_number_rooms,median_year_built,mhhi,mhhi_family,mhhi_nonfamily,more_than_200k,one_person_household,one_room,owners_25_34,plumbing_complete,renter_occupied,seven_rooms,six_rooms,three_rooms,total_pop,transportation_drive_alone,transportation_public,two_rooms,upper_quartile_home_value,vacant_units,white,unemployed_rate_q1_22,unemployed_rate_q2_22,unemployed_rate_q3_22,unemployed_rate_q4_22,unemployed_rate_year_22,emp_location_quotient_natural_resources_and_mining,emp_location_quotient_construction,emp_location_quotient_manufacturing,emp_location_quotient_trade_transportation_and_utilities,emp_location_quotient_information,emp_location_quotient_financial_activities,emp_location_quotient_professional_and_business_services,emp_location_quotient_education_and_health_services,emp_location_quotient_leisure_and_hospitality,emp_location_quotient_other_services,emp_location_quotient_unclassified,wage_location_quotient_natural_resources_and_mining,wage_location_quotient_construction,wage_location_quotient_manufacturing,wage_location_quotient_trade_transportation_and_utilities,wage_location_quotient_information,wage_location_quotient_financial_activities,wage_location_quotient_professional_and_business_services,wage_location_quotient_education_and_health_services,wage_location_quotient_leisure_and_hospitality,wage_location_quotient_other_services,wage_location_quotient_unclassified,house_price_jan_2022,house_price_feb_2022,house_price_mar_2022,house_price_apr_2022,house_price_may_2022,house_price_jun_2022,house_price_july_2022,house_price_aug_2022,house_price_sep_2022,house_price_oct_2022,house_price_nov_2022,house_price_dec_2022,house_price_jan_2023,house_price_feb_2023,house_price_mar_2023,house_price_avg_q1_2022,house_price_avg_q2_2022,house_price_avg_q3_2022,house_price_avg_q4_2022,house_price_avg_q1_2023,house_price_avg_2022
0,0.043687,0.0,0.0,0.375572,0.070211,0.26901,0.120882,0.226259,0.560549,0.4733,0.03078,0.208333,0.206473,0.976788,0.091781,0.306233,0.259424,0.352298,0.357385,0.390476,0.118258,0.473684,0.994012,0.326035,0.282695,0.213342,0.132352,0.351449,0.025175,0.242449,0.986068,0.230812,0.487846,0.642426,0.167649,0.005808,0.870019,0.009704,0.018467,0.090956,0.091166,0.729369,0.102913,0.116279,0.131078,0.105485,0.112178,0.029903,0.056669,0.167024,0.294278,0.014472,0.116761,0.07074,0.212121,0.169082,0.198157,,0.037488,0.062457,0.228833,0.265217,0.008917,0.095238,0.081466,0.161638,0.067218,0.11125,,0.078877,0.078123,0.077464,0.076697,0.076197,0.075636,0.075708,0.076255,0.077602,0.078856,0.079537,0.079738,0.079639,0.079361,0.078859,0.078147,0.07617,0.076516,0.079376,0.079285,0.086142
1,0.047416,0.0,3.6e-05,0.471174,0.082896,0.250325,0.172586,0.099943,0.628894,0.442504,0.030234,0.247958,0.299606,0.976923,0.15932,0.284553,0.248337,0.459519,0.360781,0.47381,0.169534,0.447368,0.996008,0.338103,0.347393,0.255896,0.200716,0.3928,0.045715,0.160561,0.992444,0.201014,0.409018,0.592174,0.17295,0.022664,0.816033,0.00231,0.022631,0.148437,0.323686,0.824689,0.11068,0.118863,0.133192,0.109705,0.116977,0.018544,0.085003,0.059957,0.340599,0.039074,0.182674,0.093248,0.260606,0.241546,0.207373,,0.014899,0.10501,0.070938,0.313043,0.021656,0.168831,0.09776,0.252155,0.143744,0.1575,,0.130622,0.130241,0.130056,0.129348,0.128657,0.127942,0.128184,0.12925,0.131444,0.133338,0.134219,0.13397,0.133033,0.132047,0.131041,0.130303,0.128639,0.129617,0.133842,0.132036,0.138707
2,0.053277,0.0,7.3e-05,0.153997,0.036975,0.084391,0.083286,0.543067,0.540083,0.271156,0.051898,0.279509,0.341645,0.980387,0.038337,0.241192,0.261641,0.389497,0.15365,0.402381,0.055597,0.381579,0.988024,0.138234,0.134859,0.09432,0.093122,0.44448,0.012653,0.17891,0.994213,0.355456,0.372344,0.526322,0.408023,0.002516,0.834615,0.001475,0.039392,0.051428,0.24599,0.442801,0.21165,0.219638,0.238901,0.242616,0.239352,0.066759,0.026952,0.346895,0.242507,0.013025,0.088512,0.065916,0.193939,0.107488,0.124424,,0.067286,0.037062,0.356979,0.234783,0.006369,0.069264,0.04888,0.159483,0.04395,0.085,,0.043102,0.041997,0.04074,0.039565,0.038777,0.038445,0.038756,0.039451,0.04026,0.040776,0.040934,0.041062,0.041677,0.042239,0.0425,0.041934,0.038922,0.039485,0.040924,0.042141,0.049241
3,0.079382,0.0,0.000109,0.181697,0.025385,0.086574,0.052929,0.25156,0.597826,0.31731,0.007743,0.302687,0.289245,0.946766,0.056603,0.390244,0.325942,0.378556,0.212649,0.478571,0.066733,0.434211,0.990519,0.266033,0.25483,0.114813,0.093508,0.365357,0.031559,0.083473,0.98085,0.183827,0.436874,0.658907,0.111721,0.002232,0.876112,0.0,0.027699,0.055257,0.237446,0.738951,0.114563,0.124031,0.15222,0.120253,0.127774,0.025035,0.181064,0.168094,0.3297,0.0,0.06403,0.028939,0.221212,0.045894,0.0,,0.017623,0.266301,0.175057,0.269565,0.0,0.036797,0.034623,0.181034,0.016029,0.0,,0.058211,0.057719,0.057087,0.055959,0.055088,0.054857,0.055316,0.056096,0.057005,0.057681,0.057899,0.057832,0.05835,0.058777,0.059007,0.057666,0.055294,0.056135,0.057804,0.058713,0.065507
4,0.087373,0.0,0.000145,0.212689,0.026531,0.130121,0.064268,0.014562,0.890756,0.439986,0.02386,0.299282,0.24266,0.970872,0.078026,0.344173,0.232816,0.40919,0.190153,0.438095,0.095986,0.447368,0.992515,0.255676,0.260863,0.129173,0.105111,0.34436,0.02613,0.19438,0.984534,0.179702,0.408827,0.592479,0.118633,0.005872,0.870227,0.002236,0.01789,0.080557,0.135436,0.858394,0.099029,0.113695,0.124736,0.103376,0.107978,0.014372,0.089841,0.187366,0.280654,0.04631,0.094162,0.057878,0.224242,0.121981,0.285714,,0.009452,0.102951,0.203661,0.269565,0.029299,0.088745,0.069246,0.185345,0.048604,0.195,,0.070432,0.07009,0.069996,0.069598,0.069206,0.068601,0.068566,0.069003,0.070154,0.071114,0.071411,0.071272,0.071751,0.072327,0.07276,0.07017,0.069129,0.069236,0.071265,0.072281,0.078618
5,0.119872,0.0,0.000182,0.186187,0.037481,0.070919,0.045181,0.792849,0.650044,0.399913,0.016041,0.217438,0.234354,1.0,0.031572,0.349593,0.390244,0.356674,0.097623,0.630952,0.041552,0.421053,0.991517,0.085562,0.121089,0.042286,0.041392,0.508933,0.052551,0.036837,1.0,0.327304,0.338025,0.637042,0.387764,0.001032,0.842641,0.0,0.030114,0.031353,0.274244,0.198996,0.139806,0.155039,0.164905,0.130802,0.14937,0.0,0.0,0.328694,0.149864,0.0,0.050847,0.065916,0.330303,0.043478,0.0,,0.0,0.0,0.29405,0.128261,0.0,0.032468,0.05499,0.271552,0.019131,0.0,,0.031556,0.031978,0.03194,0.031365,0.030485,0.03003,0.029827,0.030026,0.030106,0.030122,0.029841,0.02965,0.029316,0.028345,0.026762,0.031827,0.030618,0.029986,0.029871,0.028136,0.039599
6,0.1252,0.0,0.000218,0.185697,0.010749,0.138776,0.090129,0.514881,0.573125,0.334792,0.027991,0.492567,0.221737,0.939642,0.048259,0.352304,0.368071,0.411379,0.179542,0.471429,0.058921,0.407895,0.988024,0.201321,0.222251,0.148122,0.074975,0.415224,0.014999,0.081594,0.990675,0.249997,0.362181,0.613385,0.076557,0.00191,0.872078,0.002147,0.005381,0.046978,0.388524,0.50628,0.184466,0.191214,0.205074,0.164557,0.192561,0.058878,0.040083,0.24197,0.321526,0.052098,0.080979,0.098071,0.266667,0.137681,0.108295,,0.055591,0.04324,0.306636,0.306522,0.017834,0.054113,0.069246,0.237069,0.057911,0.075,,0.028153,0.027445,0.026372,0.025279,0.024506,0.024205,0.024133,0.024184,0.024263,0.024414,0.02452,0.024721,0.025529,0.026063,0.026313,0.027314,0.024656,0.024193,0.024552,0.02597,0.034238
7,0.132126,0.0,0.000254,0.260912,0.075355,0.165008,0.110556,0.241783,0.485807,0.409953,0.053404,0.239116,0.265171,0.964016,0.069569,0.268293,0.286031,0.378556,0.216044,0.440476,0.083603,0.447368,0.987525,0.242413,0.225973,0.175623,0.082877,0.42405,0.041691,0.169234,0.989938,0.264629,0.46888,0.605302,0.183901,0.011615,0.854114,0.01099,0.019265,0.064673,0.177984,0.711827,0.157282,0.173127,0.17759,0.139241,0.164967,0.010431,0.030408,0.188437,0.288828,0.049204,0.094162,0.093248,0.181818,0.135266,0.154378,,0.009933,0.034317,0.231121,0.25,0.021656,0.08658,0.077393,0.146552,0.055326,0.0925,,0.044217,0.043148,0.042155,0.041204,0.040505,0.040168,0.040472,0.041216,0.042185,0.042913,0.043241,0.043424,0.044006,0.044569,0.044826,0.043162,0.040619,0.041287,0.043193,0.044469,0.050981
8,0.157698,0.0,0.000291,0.219454,0.011106,0.099511,0.042329,0.460743,0.599303,0.363239,0.050149,0.238424,0.237421,0.984328,0.063368,0.279133,0.303769,0.428884,0.232173,0.32381,0.07014,0.434211,0.986527,0.215608,0.172847,0.149633,0.07096,0.353313,0.266867,0.159998,0.985234,0.282457,0.527965,0.565243,0.147907,0.003472,0.876257,0.005867,0.014271,0.054894,0.221741,0.545482,0.12233,0.134367,0.150106,0.124473,0.133173,0.044274,0.042156,0.308351,0.242507,0.060781,0.065913,0.088424,0.193939,0.124396,0.103687,,0.03877,0.052848,0.399314,0.204348,0.028025,0.047619,0.057026,0.146552,0.049121,0.07375,,0.03193,0.031086,0.030089,0.029162,0.028421,0.028059,0.028,0.028201,0.028505,0.028696,0.028841,0.029099,0.029992,0.030958,0.031661,0.031025,0.02854,0.028234,0.028879,0.030874,0.038195
9,0.169419,0.0,0.000327,0.142376,0.041293,0.124667,0.149699,0.053111,0.686869,0.438347,0.018862,0.263181,0.294441,0.992219,0.064608,0.271003,0.261641,0.531729,0.186333,0.42381,0.098396,0.447368,0.992515,0.188717,0.208087,0.147675,0.102505,0.401622,0.028102,0.109373,1.0,0.18686,0.388414,0.670969,0.145166,0.002488,0.852954,0.012041,0.020153,0.083713,0.395673,0.90881,0.106796,0.116279,0.131078,0.113924,0.115777,0.068846,0.023497,0.222698,0.337875,0.04631,0.082863,0.061093,0.166667,0.126812,0.117512,,0.049824,0.029513,0.242563,0.330435,0.020382,0.071429,0.046843,0.168103,0.049121,0.065,,0.068462,0.067112,0.065971,0.065232,0.065162,0.065321,0.065639,0.066259,0.067221,0.067937,0.067854,0.067306,0.067607,0.068041,0.068709,0.067168,0.065239,0.066368,0.067699,0.068121,0.075316
