,county_name,state,fips,attained_bachelors,attained_doctorate,attained_masters,attained_professional,black,black_homeowners,eight_rooms,electricity_cost,five_rooms,four_rooms,kitchen_complete,lower_quartile_home_value,mean_household_size_owner,mean_household_size_renter,median_age,median_gross_rent,median_gross_rent_frac_income,median_home_value,median_number_rooms,median_year_built,mhhi,mhhi_family,mhhi_nonfamily,more_than_200k,one_person_household,one_room,owners_25_34,plumbing_complete,renter_occupied,seven_rooms,six_rooms,three_rooms,total_pop,transportation_drive_alone,transportation_public,two_rooms,upper_quartile_home_value,vacant_units,white,unemployed_rate_q1_22,unemployed_rate_q2_22,unemployed_rate_q3_22,unemployed_rate_q4_22,unemployed_rate_year_22,emp_location_quotient_natural_resources_and_mining,emp_location_quotient_construction,emp_location_quotient_manufacturing,emp_location_quotient_trade_transportation_and_utilities,emp_location_quotient_information,emp_location_quotient_financial_activities,emp_location_quotient_professional_and_business_services,emp_location_quotient_education_and_health_services,emp_location_quotient_leisure_and_hospitality,emp_location_quotient_other_services,emp_location_quotient_unclassified,wage_location_quotient_natural_resources_and_mining,wage_location_quotient_construction,wage_location_quotient_manufacturing,wage_location_quotient_trade_transportation_and_utilities,wage_location_quotient_information,wage_location_quotient_financial_activities,wage_location_quotient_professional_and_business_services,wage_location_quotient_education_and_health_services,wage_location_quotient_leisure_and_hospitality,wage_location_quotient_other_services,wage_location_quotient_unclassified,house_price_jan_2022,house_price_feb_2022,house_price_mar_2022,house_price_apr_2022,house_price_may_2022,house_price_jun_2022,house_price_july_2022,house_price_aug_2022,house_price_sep_2022,house_price_oct_2022,house_price_nov_2022,house_price_dec_2022,house_price_jan_2023,house_price_feb_2023,house_price_mar_2023,house_price_avg_q1_2022,house_price_avg_q2_2022,house_price_avg_q3_2022,house_price_avg_q4_2022,house_price_avg_q1_2023,house_price_avg_2022
0,-1.628621,-1.837742,-1.936777,0.269735,0.296853,0.990852,0.078564,0.760511,0.365298,0.483491,-0.975162,-0.437068,-0.880951,0.231476,-0.209725,0.488132,-0.051047,-0.555952,1.007131,-0.419288,-0.045187,0.591411,0.314128,0.28464,-0.01559,-0.187572,-0.022042,-0.557373,-0.561983,1.583321,0.086506,-0.202724,1.037207,1.23237,-0.553868,-0.139635,1.024059,-0.081265,-0.563452,-0.135938,-0.793634,-0.103143,-0.994328,-1.023309,-0.895828,-1.099176,-1.054826,-0.407074,-0.136939,0.169217,0.258383,-0.594362,0.059862,-0.039508,-0.25163,0.759918,0.19838,,-0.278592,-0.16458,0.392859,0.212305,-0.386213,-0.060269,0.015483,-0.289324,0.245755,0.072762,,-0.062351,-0.060313,-0.069227,-0.072884,-0.072731,-0.073074,-0.072575,-0.069727,-0.063633,-0.057532,-0.05194,-0.045188,-0.040125,-0.03577,-0.03386,-0.070508,-0.0729,-0.068673,-0.051576,-0.038863,-0.057332
1,-1.615332,-1.837742,-1.936646,0.986874,0.514992,0.791072,0.658416,-0.0074,0.61189,0.237775,-0.979106,0.021641,0.024722,0.234859,0.555762,0.185229,-0.179092,0.356049,1.038662,0.385511,0.533156,0.195626,0.39245,0.39311,0.566514,0.187432,0.58657,0.031163,-0.258434,0.066227,0.245638,-0.537661,0.149675,0.727236,-0.504506,0.365697,0.370692,-0.238421,-0.450451,0.596368,0.926618,0.364544,-0.910743,-0.995875,-0.868474,-1.04294,-1.000983,-0.504964,0.455055,-0.666133,0.849231,-0.206173,1.065986,0.347938,0.135991,1.825618,0.28867,,-0.480848,0.551728,-0.651585,0.714813,-0.116135,0.967265,0.244905,0.480007,1.664053,0.729093,,0.727384,0.734132,0.725844,0.721355,0.718782,0.722055,0.729334,0.743735,0.759814,0.7725,0.782076,0.788694,0.790972,0.792762,0.793594,0.7219,0.72076,0.744231,0.781089,0.789031,0.749589
2,-1.594451,-1.837742,-1.936514,-1.392372,-0.27472,-0.983111,-0.343073,2.686476,0.291458,-1.129377,-0.822709,0.386888,0.433543,0.322139,-0.81547,-0.420576,-0.025438,-0.239543,-0.884752,-0.304316,-0.751947,-0.793836,0.079163,-1.403399,-1.345721,-1.236438,-0.371285,0.766691,-0.747048,0.406163,0.289787,1.198329,-0.263234,0.065279,1.684183,-0.238313,0.595578,-0.25617,0.004394,-0.639522,0.3518,-1.509194,0.17587,0.074032,0.499222,0.728519,0.372018,-0.089431,-0.757811,1.572605,-0.401976,-0.617197,-0.371335,-0.122532,-0.396988,-0.145927,-0.523939,,-0.011786,-0.592054,1.240524,-0.107472,-0.440229,-0.422929,-0.443362,-0.307641,-0.185484,-0.299751,,-0.608346,-0.611002,-0.624421,-0.633011,-0.637334,-0.638446,-0.637263,-0.634635,-0.634739,-0.637664,-0.64071,-0.639873,-0.631009,-0.619538,-0.610415,-0.620703,-0.636319,-0.635571,-0.639433,-0.621813,-0.623801
3,-1.501433,-1.837742,-1.936382,-1.184585,-0.474032,-0.959771,-0.683516,0.914324,0.499797,-0.761126,-1.141477,0.655215,-0.076026,-0.524963,-0.608443,1.661879,0.717222,-0.332605,-0.336894,0.431499,-0.626342,-0.002267,0.177065,-0.254686,-0.266299,-1.055841,-0.36785,-0.359418,-0.467642,-1.361944,-0.043729,-0.730849,0.463311,1.398035,-1.074595,-0.246831,1.097788,-0.287523,-0.312919,-0.590745,0.288586,-0.056128,-0.86895,-0.941008,-0.622289,-0.902348,-0.879835,-0.449027,2.462061,0.177571,0.710208,-0.822708,-0.745038,-0.759049,-0.178951,-1.051772,-1.742853,,-0.456463,3.266768,0.037142,0.257988,-0.575268,-0.876253,-0.644106,-0.124467,-0.702971,-1.505981,,-0.377753,-0.371339,-0.377287,-0.385707,-0.391227,-0.388957,-0.3842,-0.379147,-0.378643,-0.380128,-0.381955,-0.382016,-0.371494,-0.359466,-0.348671,-0.381675,-0.388666,-0.380689,-0.381376,-0.36173,-0.374103
4,-1.472959,-1.837742,-1.93625,-0.952105,-0.454325,-0.494156,-0.55636,-0.526454,1.556705,0.217683,-1.025126,0.615793,-0.529054,0.082403,-0.365634,1.018211,-0.358354,-0.072033,-0.54579,0.040597,-0.296396,0.195626,0.255387,-0.34778,-0.212022,-0.929294,-0.264557,-0.65826,-0.547873,0.692776,0.048237,-0.777223,0.147523,0.730301,-1.010239,-0.137706,1.026566,-0.23999,-0.579116,-0.268425,-0.466118,0.529918,-1.036121,-1.050742,-0.97789,-1.127295,-1.101939,-0.540924,0.556128,0.327933,0.084604,-0.092,-0.285095,-0.260905,-0.154725,0.067213,1.056135,,-0.529619,0.517068,0.226353,0.257988,0.045911,-0.150934,-0.156584,-0.087832,-0.099236,1.261253,,-0.191228,-0.182776,-0.182135,-0.179962,-0.178214,-0.180024,-0.181722,-0.18103,-0.177555,-0.175471,-0.17588,-0.175366,-0.162898,-0.146391,-0.130588,-0.191704,-0.179406,-0.18012,-0.175578,-0.148782,-0.172835
5,-1.357161,-1.837742,-1.936118,-1.150901,-0.266025,-1.127155,-0.77041,4.204975,0.688203,-0.102047,-1.081573,-0.331665,-0.609827,0.81631,-0.892146,1.093937,1.459881,-0.518727,-1.40502,1.90313,-0.910358,-0.200159,0.216226,-1.876845,-1.469614,-1.694984,-0.831808,1.68402,-0.157412,-2.22594,0.43423,0.881887,-0.649633,1.178252,1.495555,-0.282814,0.692716,-0.287523,-0.247396,-0.895269,0.560826,-2.705429,-0.597297,-0.611806,-0.458165,-0.761756,-0.637541,-0.664784,-1.320928,1.430595,-1.583672,-0.822708,-0.946263,-0.122532,0.693196,-1.087295,-1.742853,,-0.614251,-1.215936,0.82426,-1.226695,-0.575268,-0.936696,-0.357328,0.644864,-0.645473,-1.505981,,-0.784552,-0.763724,-0.757452,-0.756712,-0.762449,-0.766377,-0.773712,-0.779306,-0.790035,-0.799988,-0.809903,-0.815344,-0.823418,-0.838047,-0.859981,-0.774256,-0.761928,-0.780994,-0.808413,-0.841608,-0.771826
6,-1.338178,-1.837742,-1.935986,-1.154579,-0.725739,-0.40162,-0.266322,2.515124,0.410676,-0.621642,-0.9953,2.853335,-0.73252,-0.704447,-0.703011,1.1318,1.203792,-0.053421,-0.644325,0.362516,-0.714453,-0.398051,0.079163,-0.836345,-0.55943,-0.762308,-0.532839,0.350302,-0.712374,-1.396745,0.201498,0.012928,-0.377669,0.940444,-1.402,-0.256499,1.048975,-0.241882,-0.918578,-0.696208,1.406305,-1.197733,-0.116679,-0.227737,0.061559,-0.311862,-0.152953,-0.157355,-0.483472,0.753962,0.605941,-0.000662,-0.48632,0.430962,0.184443,0.298115,-0.681946,,-0.1165,-0.488074,0.907512,0.646289,-0.197159,-0.63448,-0.156584,0.351785,0.073259,-0.44166,,-0.836496,-0.832817,-0.841626,-0.848522,-0.85266,-0.854926,-0.86073,-0.868991,-0.879405,-0.886946,-0.891056,-0.891124,-0.88236,-0.873922,-0.86711,-0.842819,-0.852104,-0.869682,-0.889731,-0.875601,-0.85412
7,-1.3135,-1.837742,-1.935854,-0.590368,0.385315,-0.121145,-0.037239,0.854887,0.095627,-0.021943,-0.811832,-0.080711,-0.310138,-0.090341,-0.46148,-0.041948,0.256261,-0.332605,-0.305363,0.063591,-0.436061,0.195626,0.059582,-0.466994,-0.525942,-0.519966,-0.46249,0.475925,-0.317897,0.226908,0.183109,0.177391,0.823665,0.859192,-0.402552,0.03446,0.83157,-0.053928,-0.541801,-0.470782,-0.151329,-0.189214,-0.409229,-0.419771,-0.294042,-0.649282,-0.462551,-0.574885,-0.685617,0.336287,0.188872,-0.046331,-0.285095,0.347938,-0.493893,0.262591,-0.230497,,-0.525316,-0.638268,0.407996,0.052416,-0.116135,-0.181156,-0.041873,-0.417545,0.025344,-0.193319,,-0.591317,-0.593463,-0.603033,-0.608287,-0.611266,-0.61225,-0.611036,-0.607546,-0.605299,-0.605109,-0.605521,-0.603555,-0.594763,-0.582898,-0.573539,-0.602037,-0.610647,-0.607994,-0.604751,-0.585277,-0.597094
8,-1.222381,-1.837742,-1.935722,-0.901357,-0.719599,-0.821442,-0.802402,2.186007,0.505126,-0.394665,-0.83533,-0.08872,-0.579996,0.421435,-0.531767,0.109503,0.461132,0.095477,-0.155589,-1.063126,-0.587911,-0.002267,0.020421,-0.707931,-1.003931,-0.748992,-0.568584,-0.530844,3.009897,0.055797,0.065696,0.377787,1.488912,0.456519,-0.737682,-0.209664,1.099551,-0.16282,-0.677309,-0.595359,0.172398,-1.00539,-0.785364,-0.831274,-0.649643,-0.846111,-0.819262,-0.283213,-0.440156,1.271879,-0.401976,0.136346,-0.716292,0.264914,-0.396988,0.102736,-0.727091,,-0.267117,-0.326327,1.520556,-0.42725,0.018904,-0.725145,-0.328651,-0.417545,-0.089653,-0.459399,,-0.778848,-0.777319,-0.785441,-0.789941,-0.793584,-0.796327,-0.801628,-0.807326,-0.814532,-0.8217,-0.825147,-0.82382,-0.812895,-0.796947,-0.782292,-0.786436,-0.793349,-0.807816,-0.82358,-0.798639,-0.793366
9,-1.180618,-1.837742,-1.935591,-1.479545,-0.200466,-0.552475,0.401744,-0.292105,0.821067,0.204607,-1.061206,0.197876,-0.025506,0.620267,-0.517709,-0.004085,-0.025438,0.970254,-0.581262,-0.097368,-0.269213,0.195626,0.255387,-0.94964,-0.686864,-0.766253,-0.287757,0.156718,-0.518726,-0.882105,0.43423,-0.696756,-0.082303,1.519285,-0.763194,-0.239163,0.817523,-0.031595,-0.517698,-0.228218,1.459196,0.777285,-0.952536,-1.023309,-0.895828,-0.986703,-1.014443,-0.071451,-0.830005,0.603599,0.814475,-0.092,-0.457574,-0.205556,-0.615025,0.13826,-0.591656,,-0.16814,-0.719141,0.48368,0.897543,-0.143143,-0.392707,-0.47204,-0.234371,-0.089653,-0.58357,,-0.221303,-0.228158,-0.242989,-0.245824,-0.239241,-0.229892,-0.226451,-0.223154,-0.222404,-0.223876,-0.23012,-0.236345,-0.227409,-0.213786,-0.194824,-0.237312,-0.238244,-0.22402,-0.2301,-0.214072,-0.223527
