period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
12/1/2017,12/31/2017,30,county,5,396,f,"Larimer County, CO",,Colorado,CO,Multi-Family (2-4 Unit),4,465000,-0.016393443,-0.065326633,359900,0,0.043188406,194.0969063,0.139896546,0.002730929,180,0.075494368,0.123976963,7,0.75,0.166666667,2,-0.666666667,-0.5,1,-0.857142857,-0.5,7,-0.222222222,-0.125,1,-1.3,-0.3,29,-31,-44,0.978250956,-0.013327991,-0.003382675,0.142857143,-0.107142857,-0.19047619,,,,0,-0.333333333,0,"Fort Collins, CO",22660,3/19/2023
9/1/2017,9/30/2017,30,county,5,1515,f,"Winona County, MN",,Minnesota,MN,Townhouse,13,163000,-0.166666667,,140950,,,133.378933,0.109712722,,92.08696191,,,3,0,,,,,2,,,5,0,,1.7,0,,153,96,,0.976820399,-0.017578434,,0,-0.333333333,,,,,,,,"Winona, MN",49100,3/19/2023
4/1/2022,4/30/2022,30,county,5,949,f,"Henry County, IA",,Iowa,IA,All Residential,-1,93000,-0.333333333,-0.452941176,152400,0.281749369,0.2192,68.22612086,-0.415261504,-0.501424501,135.549433,0.260772875,0.210158984,9,-0.25,-0.4,4,-0.428571429,-0.555555556,15,0.25,0.666666667,35,0.206896552,0.060606061,3.9,1.5,1.7,102,16,39,0.961382965,-0.010774183,-0.022210012,0.222222222,0.055555556,-0.044444444,,,,0,-0.142857143,0,Iowa nonmetropolitan area,,3/19/2023
3/1/2012,3/31/2012,30,county,5,2396,f,"Lancaster County, PA",,Pennsylvania,PA,Condo/Co-op,3,105805,-0.332249921,-0.287508418,178700,0.027011494,0.052104798,79.61574508,-0.074972107,-0.227423911,100.4223787,0.027300835,0.027127047,10,0.666666667,0.25,4,-0.2,0.333333333,11,-0.153846154,-0.421052632,70,-0.078947368,-0.333333333,7,-5.7,-6.1,249,137,139,0.944354162,-0.024544516,-0.024322024,0.2,0.033333333,0.075,,,,0.25,-0.55,-0.083333333,"Lancaster, PA",29540,3/19/2023
8/1/2020,8/31/2020,30,county,5,1036,f,"Gove County, KS",,Kansas,KS,All Residential,-1,49500,0.5,,118500,0.490566038,,22.09821429,0.222767857,,51.52858881,-0.015447467,,1,0,,1,,,2,1,,4,0.333333333,,4,1,,90,-79,,,,,0,0,,,,,0,,,Kansas nonmetropolitan area,,3/19/2023
2/1/2020,2/29/2020,30,county,5,2193,f,"Harrison County, OH",,Ohio,OH,Single Family Residential,6,122500,-0.124374553,1.207207207,115000,-0.163332121,-0.17236416,66.63997016,-0.283045838,1.333656314,76.25531909,-0.051058679,-0.226634962,6,-0.333333333,-0.25,1,-0.75,-0.666666667,13,0.181818182,-0.133333333,56,0.098039216,0.056603774,9.3,3.6,2.7,145,33,37,0.906622283,-0.060895415,0.002282898,0,-0.333333333,-0.125,,,,0,0,0,Ohio nonmetropolitan area,,3/19/2023
8/1/2017,8/31/2017,30,county,5,1115,f,"Bath County, KY",,Kentucky,KY,All Residential,-1,83500,-0.200956938,-0.197886647,149500,1.718181818,0.575342466,64.11830357,-0.082978103,-0.280592634,93.4375,0.649246032,0.601785714,5,1.5,0,4,0.333333333,-0.2,7,0,-0.461538462,29,-0.09375,-0.292682927,5.8,-10.2,-2.4,36,-34,-6,0.963040725,-0.022077316,0.011351069,0.2,-0.3,0.2,0.24137931,0.02262931,0.021867115,0.25,0.25,-0.15,"Mount Sterling, KY",34460,3/19/2023
8/1/2021,8/31/2021,30,county,5,1330,f,"Washington County, MD",,Maryland,MD,All Residential,-1,270000,0.080432173,0.168831169,250000,-0.038091574,0.048437828,141.025641,0.010299991,0.170482244,141.2976405,0.026474224,0.104578499,231,0,0.054794521,241,0.255208333,0.235897436,261,-0.077738516,0.285714286,374,-0.005319149,-0.053164557,1.6,0,-0.2,22,3,-20,1.005617482,-0.001685332,0.013981082,0.428571429,-0.056277056,0.168297456,0.299465241,0.038826943,0.081743722,0.46473029,-0.08214471,0.013448239,"Hagerstown, MD",25180,3/19/2023
7/1/2022,7/31/2022,30,county,5,966,f,"Madison County, IA",,Iowa,IA,All Residential,-1,169500,-0.215277778,-0.089932886,229500,0.1475,0.330434783,122.3209618,-0.271237605,-0.116640941,141.6533254,0.142442386,-0.042019799,17,-0.227272727,-0.346153846,12,-0.454545455,-0.368421053,16,-0.407407407,0,29,0.074074074,0.611111111,1.7,0.5,1,11,-5,5,0.98050068,-0.007899558,-0.015197661,0.235294118,0.00802139,-0.149321267,0.172413793,-0.197956577,-0.272030651,0.666666667,-0.060606061,0.140350877,"Des Moines, IA",19780,3/19/2023
4/1/2014,4/30/2014,30,county,5,1319,f,"Frederick County, MD",,Maryland,MD,Condo/Co-op,3,132450,-0.089690722,-0.128618421,289900,-0.033344448,-0.023042251,136.2962963,0.132714007,0.071352283,145.8360573,0.000591758,-0.016502743,18,0.5,0.384615385,20,0.052631579,1.222222222,28,-0.125,0.555555556,60,0.090909091,1.608695652,3.3,-1.3,1.5,14,-23,-25,0.979979375,0.015757303,0.011409236,0.166666667,0.083333333,0.012820513,0.2,0.018181818,0.026086957,0.5,-0.236842105,0.055555556,"Frederick, MD",23224,3/19/2023
